"Reaction ID","Subsystem"
"R_ALAR_b1190","Ala and Asp Metabolism"
"R_ALAR_b4053","Ala and Asp Metabolism"
"R_ASNS1","Ala and Asp Metabolism"
"R_ASNS2_b0674","Ala and Asp Metabolism"
"R_ASNS2_b3744","Ala and Asp Metabolism"
"R_ASPTA_b0928","Ala and Asp Metabolism"
"R_ASPTA_b4054","Ala and Asp Metabolism"
"R_DAAD","Ala and Asp Metabolism"
"R_ALATA_L_b2290","Ala and Asp Metabolism"
"R_ALATA_L_b2379","Ala and Asp Metabolism"
"R_ASNN_b0828","Ala and Asp Metabolism"
"R_ASNN_b1767","Ala and Asp Metabolism"
"R_ASNNpp","Ala and Asp Metabolism"
"R_ASPT","Ala and Asp Metabolism"
"R_ALAR_b1190_fwd","Ala and Asp Metabolism"
"R_ALAR_b4053_fwd","Ala and Asp Metabolism"
"R_ASNS1_fwd","Ala and Asp Metabolism"
"R_ASNS2_b0674_fwd","Ala and Asp Metabolism"
"R_ASNS2_b3744_fwd","Ala and Asp Metabolism"
"R_ASPTA_b0928_fwd","Ala and Asp Metabolism"
"R_ASPTA_b4054_fwd","Ala and Asp Metabolism"
"R_DAAD_fwd","Ala and Asp Metabolism"
"R_ALATA_L_b2290_fwd","Ala and Asp Metabolism"
"R_ALATA_L_b2379_fwd","Ala and Asp Metabolism"
"R_ASNN_b0828_fwd","Ala and Asp Metabolism"
"R_ASNN_b1767_fwd","Ala and Asp Metabolism"
"R_ASNNpp_fwd","Ala and Asp Metabolism"
"R_ASPT_fwd","Ala and Asp Metabolism"
"R_ALAR_b1190_rev","Ala and Asp Metabolism"
"R_ALAR_b4053_rev","Ala and Asp Metabolism"
"R_ASNS1_rev","Ala and Asp Metabolism"
"R_ASNS2_b0674_rev","Ala and Asp Metabolism"
"R_ASNS2_b3744_rev","Ala and Asp Metabolism"
"R_ASPTA_b0928_rev","Ala and Asp Metabolism"
"R_ASPTA_b4054_rev","Ala and Asp Metabolism"
"R_DAAD_rev","Ala and Asp Metabolism"
"R_ALATA_L_b2290_rev","Ala and Asp Metabolism"
"R_ALATA_L_b2379_rev","Ala and Asp Metabolism"
"R_ASNN_b0828_rev","Ala and Asp Metabolism"
"R_ASNN_b1767_rev","Ala and Asp Metabolism"
"R_ASNNpp_rev","Ala and Asp Metabolism"
"R_ASPT_rev","Ala and Asp Metabolism"
"R_METGLCUR","Alternate Carbon Metabolism"
"R_13PPDH2","Alternate Carbon Metabolism"
"R_2DOXG6PP_b0446","Alternate Carbon Metabolism"
"R_2DOXG6PP_b1727","Alternate Carbon Metabolism"
"R_2DOXG6PP_b2293","Alternate Carbon Metabolism"
"R_2DOXG6PP_b3826","Alternate Carbon Metabolism"
"R_DDPGALA","Alternate Carbon Metabolism"
"R_2DDARAA_b0268","Alternate Carbon Metabolism"
"R_2DDARAA_b4298","Alternate Carbon Metabolism"
"R_DDGALK","Alternate Carbon Metabolism"
"R_DDGLK","Alternate Carbon Metabolism"
"R_2DGULRx","Alternate Carbon Metabolism"
"R_2DGULRy","Alternate Carbon Metabolism"
"R_2DGULRGx","Alternate Carbon Metabolism"
"R_2DGULRGy","Alternate Carbon Metabolism"
"R_HKNDDH","Alternate Carbon Metabolism"
"R_HKNTDH","Alternate Carbon Metabolism"
"R_2HPTCOAT","Alternate Carbon Metabolism"
"R_2HESR_b2302","Alternate Carbon Metabolism"
"R_2HESR_b2989","Alternate Carbon Metabolism"
"R_LKDRA","Alternate Carbon Metabolism"
"R_MCITD","Alternate Carbon Metabolism"
"R_MCITS","Alternate Carbon Metabolism"
"R_MICITDr","Alternate Carbon Metabolism"
"R_MANPGH","Alternate Carbon Metabolism"
"R_OBTFL_b0902_b0903","Alternate Carbon Metabolism"
"R_OBTFL_b0902_b0903_b2579","Alternate Carbon Metabolism"
"R_OBTFL_b0902_b3114","Alternate Carbon Metabolism"
"R_OP4ENH","Alternate Carbon Metabolism"
"R_DOGULNR","Alternate Carbon Metabolism"
"R_DHACOAH","Alternate Carbon Metabolism"
"R_DAPAL","Alternate Carbon Metabolism"
"R_DHCINDO","Alternate Carbon Metabolism"
"R_DHCIND","Alternate Carbon Metabolism"
"R_DHPPD","Alternate Carbon Metabolism"
"R_HPPPNDO","Alternate Carbon Metabolism"
"R_DKGLCNR1_b0207","Alternate Carbon Metabolism"
"R_DKGLCNR1_b3012","Alternate Carbon Metabolism"
"R_DKGLCNR2x","Alternate Carbon Metabolism"
"R_DKGLCNR2y","Alternate Carbon Metabolism"
"R_3HPPPNH","Alternate Carbon Metabolism"
"R_HADPCOADH3","Alternate Carbon Metabolism"
"R_3HCINNMH","Alternate Carbon Metabolism"
"R_3HPADHi","Alternate Carbon Metabolism"
"R_KG6PDC_b3581","Alternate Carbon Metabolism"
"R_KG6PDC_b4196","Alternate Carbon Metabolism"
"R_3KGK","Alternate Carbon Metabolism"
"R_OXDHCOAT","Alternate Carbon Metabolism"
"R_3OXCOAT","Alternate Carbon Metabolism"
"R_HPYRP","Alternate Carbon Metabolism"
"R_3SLAR","Alternate Carbon Metabolism"
"R_CDGUNPD_b0315","Alternate Carbon Metabolism"
"R_CDGUNPD_b1285","Alternate Carbon Metabolism"
"R_CDGUNPD_b1489","Alternate Carbon Metabolism"
"R_CDGUNPD_b2503","Alternate Carbon Metabolism"
"R_CDGUNPD_b3525","Alternate Carbon Metabolism"
"R_HOPNTAL","Alternate Carbon Metabolism"
"R_GLCRAL","Alternate Carbon Metabolism"
"R_5DGLCNR","Alternate Carbon Metabolism"
"R_5DKGR_b2842","Alternate Carbon Metabolism"
"R_5DKGR_b4266","Alternate Carbon Metabolism"
"R_PRCPD","Alternate Carbon Metabolism"
"R_6D6SFK","Alternate Carbon Metabolism"
"R_6D6SPA","Alternate Carbon Metabolism"
"R_BGLA1_b1734","Alternate Carbon Metabolism"
"R_BGLA1_b2716","Alternate Carbon Metabolism"
"R_BGLA1_b3721","Alternate Carbon Metabolism"
"R_CHOLID","Alternate Carbon Metabolism"
"R_GALS3","Alternate Carbon Metabolism"
"R_ACCOAL_b0335","Alternate Carbon Metabolism"
"R_ACCOAL_b4069","Alternate Carbon Metabolism"
"R_ACACCT_b1694","Alternate Carbon Metabolism"
"R_ACACCT_b2222_b2221","Alternate Carbon Metabolism"
"R_BUTCT","Alternate Carbon Metabolism"
"R_HXCT","Alternate Carbon Metabolism"
"R_ADNUC","Alternate Carbon Metabolism"
"R_ALCD19_b1241","Alternate Carbon Metabolism"
"R_ALCD19_b1478","Alternate Carbon Metabolism"
"R_ALDD2y_b0493","Alternate Carbon Metabolism"
"R_ALDD2y_b3003","Alternate Carbon Metabolism"
"R_ALDD2y_b3011","Alternate Carbon Metabolism"
"R_ALDD2y_b3588","Alternate Carbon Metabolism"
"R_ALDD2y_b4269","Alternate Carbon Metabolism"
