"Reaction ID","Subsystem"
"R_ALAR","Ala and Asp Metabolism"
"R_ALATA_L","Ala and Asp Metabolism"
"R_ASPTA","Ala and Asp Metabolism"
"R_ASPT","Ala and Asp Metabolism"
"R_ASNN","Ala and Asp Metabolism"
"R_ASNS2","Ala and Asp Metabolism"
"R_ASNNpp","Ala and Asp Metabolism"
"R_DAAD","Ala and Asp Metabolism"
"R_ASNS1","Ala and Asp Metabolism"
"R_GLYCTO2","Alternate Carbon Metabolism"
"R_GLYCTO3","Alternate Carbon Metabolism"
"R_GLYCTO4","Alternate Carbon Metabolism"
"R_MAN6PI","Alternate Carbon Metabolism"
"R_XYLK","Alternate Carbon Metabolism"
"R_RBK","Alternate Carbon Metabolism"
"R_GLYK","Alternate Carbon Metabolism"
"R_PPM","Alternate Carbon Metabolism"
"R_A5PISO","Alternate Carbon Metabolism"
"R_G6PDA","Alternate Carbon Metabolism"
"R_ALDD2y","Alternate Carbon Metabolism"
"R_RMI","Alternate Carbon Metabolism"
"R_MNNH","Alternate Carbon Metabolism"
"R_ALTRH","Alternate Carbon Metabolism"
"R_GUI1","Alternate Carbon Metabolism"
"R_HEX7","Alternate Carbon Metabolism"
"R_HEX4","Alternate Carbon Metabolism"
"R_RBK_L1","Alternate Carbon Metabolism"
"R_RBP4E","Alternate Carbon Metabolism"
"R_UGLT","Alternate Carbon Metabolism"
"R_DDGLK","Alternate Carbon Metabolism"
"R_XYLI2","Alternate Carbon Metabolism"
"R_PMANM","Alternate Carbon Metabolism"
"R_UDPG4E","Alternate Carbon Metabolism"
"R_LACZ","Alternate Carbon Metabolism"
"R_TRE6PH","Alternate Carbon Metabolism"
"R_XYLI1","Alternate Carbon Metabolism"
"R_ALDD4","Alternate Carbon Metabolism"
"R_G3PT","Alternate Carbon Metabolism"
"R_CINNDO","Alternate Carbon Metabolism"
"R_DHPPD","Alternate Carbon Metabolism"
"R_DHCIND","Alternate Carbon Metabolism"
"R_LCARS","Alternate Carbon Metabolism"
"R_ALCD19","Alternate Carbon Metabolism"
"R_RMPA","Alternate Carbon Metabolism"
"R_SBTPD","Alternate Carbon Metabolism"
"R_PFK_2","Alternate Carbon Metabolism"
"R_GLTPD","Alternate Carbon Metabolism"
"R_TGBPA","Alternate Carbon Metabolism"
"R_MANAO","Alternate Carbon Metabolism"
"R_TAGURr","Alternate Carbon Metabolism"
"R_PGLYCP","Alternate Carbon Metabolism"
"R_TARTD","Alternate Carbon Metabolism"
"R_GLCRAL","Alternate Carbon Metabolism"
"R_DKGLCNR2y","Alternate Carbon Metabolism"
"R_2DGULRy","Alternate Carbon Metabolism"
"R_AMANK","Alternate Carbon Metabolism"
"R_ACNML","Alternate Carbon Metabolism"
"R_DDGALK","Alternate Carbon Metabolism"
"R_AB6PGH","Alternate Carbon Metabolism"
"R_AMALT1","Alternate Carbon Metabolism"
"R_MLTP2","Alternate Carbon Metabolism"
"R_PACCOAL","Alternate Carbon Metabolism"
"R_TRE6PS","Alternate Carbon Metabolism"
"R_TREH","Alternate Carbon Metabolism"
"R_ACACCT","Alternate Carbon Metabolism"
"R_BUTCT","Alternate Carbon Metabolism"
"R_2DGULRx","Alternate Carbon Metabolism"
"R_ADNUC","Alternate Carbon Metabolism"
"R_PGMT","Alternate Carbon Metabolism"
