Subsystem,Protein Association
Ala and Asp Metabolism,P00509
Ala and Asp Metabolism,P00805
Ala and Asp Metabolism,P00963
Ala and Asp Metabolism,P04693
Ala and Asp Metabolism,P0A6B4
Ala and Asp Metabolism,P0A6J5
Ala and Asp Metabolism,P0A959
Ala and Asp Metabolism,P0A962
Ala and Asp Metabolism,P0AC38
Ala and Asp Metabolism,P22106
Ala and Asp Metabolism,P29012
Ala and Asp Metabolism,P37595
Ala and Asp Metabolism,P77434
Alternate Carbon Metabolism,P00490
Alternate Carbon Metabolism,P00634
Alternate Carbon Metabolism,P00722
Alternate Carbon Metabolism,P00944
Alternate Carbon Metabolism,P00946
Alternate Carbon Metabolism,P05707
Alternate Carbon Metabolism,P05804
Alternate Carbon Metabolism,P05847
Alternate Carbon Metabolism,P06720
Alternate Carbon Metabolism,P07024
Alternate Carbon Metabolism,P07102
Alternate Carbon Metabolism,P08202
Alternate Carbon Metabolism,P08203
Alternate Carbon Metabolism,P08204
Alternate Carbon Metabolism,P08839
Alternate Carbon Metabolism,P09099
Alternate Carbon Metabolism,P09147
Alternate Carbon Metabolism,P09148
Alternate Carbon Metabolism,P09373
Alternate Carbon Metabolism,P09424
Alternate Carbon Metabolism,P0A6F3
Alternate Carbon Metabolism,P0A6K6
Alternate Carbon Metabolism,P0A6L0
Alternate Carbon Metabolism,P0A6L4
Alternate Carbon Metabolism,P0A6L7
Alternate Carbon Metabolism,P0A6S7
Alternate Carbon Metabolism,P0A6T3
Alternate Carbon Metabolism,P0A759
Alternate Carbon Metabolism,P0A761
Alternate Carbon Metabolism,P0A796
Alternate Carbon Metabolism,P0A8G3
Alternate Carbon Metabolism,P0A8Y5
Alternate Carbon Metabolism,P0A9C3
Alternate Carbon Metabolism,P0A9J6
Alternate Carbon Metabolism,P0A9M8
Alternate Carbon Metabolism,P0A9N4
Alternate Carbon Metabolism,P0A9P9
Alternate Carbon Metabolism,P0A9Q7
Alternate Carbon Metabolism,P0A9S1
Alternate Carbon Metabolism,P0A9S3
Alternate Carbon Metabolism,P0A9S5
Alternate Carbon Metabolism,P0A9V8
Alternate Carbon Metabolism,P0AA04
Alternate Carbon Metabolism,P0AB74
Alternate Carbon Metabolism,P0AB87
Alternate Carbon Metabolism,P0ABQ2
Alternate Carbon Metabolism,P0ABR5
Alternate Carbon Metabolism,P0ABR9
Alternate Carbon Metabolism,P0ABW0
Alternate Carbon Metabolism,P0AC00
Alternate Carbon Metabolism,P0AC35
Alternate Carbon Metabolism,P0ADG4
Alternate Carbon Metabolism,P0AE22
Alternate Carbon Metabolism,P0AEP9
Alternate Carbon Metabolism,P0AES2
Alternate Carbon Metabolism,P0AET8
Alternate Carbon Metabolism,P0AEW9
Alternate Carbon Metabolism,P0AF18
Alternate Carbon Metabolism,P0AF24
Alternate Carbon Metabolism,P0AFI0
Alternate Carbon Metabolism,P0AFP4
Alternate Carbon Metabolism,P0AG84
Alternate Carbon Metabolism,P0C7L2
Alternate Carbon Metabolism,P0C8J6
Alternate Carbon Metabolism,P0C8J8
Alternate Carbon Metabolism,P0C8K0
Alternate Carbon Metabolism,P0CI31
Alternate Carbon Metabolism,P11553
Alternate Carbon Metabolism,P11868
Alternate Carbon Metabolism,P11988
Alternate Carbon Metabolism,P13482
Alternate Carbon Metabolism,P14407
Alternate Carbon Metabolism,P15977
Alternate Carbon Metabolism,P16679
Alternate Carbon Metabolism,P16685
Alternate Carbon Metabolism,P16686
Alternate Carbon Metabolism,P16687
Alternate Carbon Metabolism,P16688
Alternate Carbon Metabolism,P16689
Alternate Carbon Metabolism,P16690
Alternate Carbon Metabolism,P16692
Alternate Carbon Metabolism,P17115
Alternate Carbon Metabolism,P17411
Alternate Carbon Metabolism,P19926
Alternate Carbon Metabolism,P21514
Alternate Carbon Metabolism,P21517
Alternate Carbon Metabolism,P22564
Alternate Carbon Metabolism,P23522
Alternate Carbon Metabolism,P23883
Alternate Carbon Metabolism,P23917
Alternate Carbon Metabolism,P24175
Alternate Carbon Metabolism,P24215
Alternate Carbon Metabolism,P24240
Alternate Carbon Metabolism,P25553
Alternate Carbon Metabolism,P25718
Alternate Carbon Metabolism,P26612
Alternate Carbon Metabolism,P26646
Alternate Carbon Metabolism,P27250
Alternate Carbon Metabolism,P27253
Alternate Carbon Metabolism,P27550
Alternate Carbon Metabolism,P27848
Alternate Carbon Metabolism,P28904
Alternate Carbon Metabolism,P30147
Alternate Carbon Metabolism,P30863
Alternate Carbon Metabolism,P31459
Alternate Carbon Metabolism,P31467
Alternate Carbon Metabolism,P31660
Alternate Carbon Metabolism,P31677
Alternate Carbon Metabolism,P31678
Alternate Carbon Metabolism,P32138
Alternate Carbon Metabolism,P32140
Alternate Carbon Metabolism,P32141
Alternate Carbon Metabolism,P32143
Alternate Carbon Metabolism,P32169
Alternate Carbon Metabolism,P32170
Alternate Carbon Metabolism,P32171
Alternate Carbon Metabolism,P32662
Alternate Carbon Metabolism,P32718
Alternate Carbon Metabolism,P32719
Alternate Carbon Metabolism,P33022
Alternate Carbon Metabolism,P33363
Alternate Carbon Metabolism,P36683
Alternate Carbon Metabolism,P36938
Alternate Carbon Metabolism,P37349
Alternate Carbon Metabolism,P37351
Alternate Carbon Metabolism,P37610
Alternate Carbon Metabolism,P37627
Alternate Carbon Metabolism,P37646
Alternate Carbon Metabolism,P37647
Alternate Carbon Metabolism,P37666
Alternate Carbon Metabolism,P37672
Alternate Carbon Metabolism,P37677
Alternate Carbon Metabolism,P37678
Alternate Carbon Metabolism,P37679
Alternate Carbon Metabolism,P37680
Alternate Carbon Metabolism,P37685
Alternate Carbon Metabolism,P37766
Alternate Carbon Metabolism,P37769
Alternate Carbon Metabolism,P37794
Alternate Carbon Metabolism,P37906
Alternate Carbon Metabolism,P38489
Alternate Carbon Metabolism,P39160
Alternate Carbon Metabolism,P39208
Alternate Carbon Metabolism,P39300
Alternate Carbon Metabolism,P39304
Alternate Carbon Metabolism,P39305
Alternate Carbon Metabolism,P39306
Alternate Carbon Metabolism,P39346
Alternate Carbon Metabolism,P39358
Alternate Carbon Metabolism,P39359
Alternate Carbon Metabolism,P39400
Alternate Carbon Metabolism,P39451
Alternate Carbon Metabolism,P39829
Alternate Carbon Metabolism,P41409
Alternate Carbon Metabolism,P42604
Alternate Carbon Metabolism,P42632
Alternate Carbon Metabolism,P43337
Alternate Carbon Metabolism,P45395
Alternate Carbon Metabolism,P45425
Alternate Carbon Metabolism,P45541
Alternate Carbon Metabolism,P45543
Alternate Carbon Metabolism,P46859
Alternate Carbon Metabolism,P46891
Alternate Carbon Metabolism,P51020
Alternate Carbon Metabolism,P52043
Alternate Carbon Metabolism,P52045
Alternate Carbon Metabolism,P52073
Alternate Carbon Metabolism,P52074
Alternate Carbon Metabolism,P54746
Alternate Carbon Metabolism,P62601
Alternate Carbon Metabolism,P66899
Alternate Carbon Metabolism,P68066
Alternate Carbon Metabolism,P69902
Alternate Carbon Metabolism,P69922
Alternate Carbon Metabolism,P75682
Alternate Carbon Metabolism,P75691
Alternate Carbon Metabolism,P75792
Alternate Carbon Metabolism,P75913
Alternate Carbon Metabolism,P76014
Alternate Carbon Metabolism,P76015
Alternate Carbon Metabolism,P76038
