"Reaction ID","Reaction Name","Subsystem","Reaction Formula","Lower Bound","Upper Bound"
"R_EX_co2_e","CO2 exchange","None","1 M_co2_e <=> ",-1000,1000
"R_EX_h_e","H+ exchange","None","1 M_h_e <=> ",-1000,1000
"R_EX_h2o_e","H2O exchange","None","1 M_h2o_e <=> ",-1000,1000
"R_EX_o2_e","O2 exchange","None","1 M_o2_e <=> ",-1000,1000
"R_EX_na1_e","Sodium exchange","None","1 M_na1_e <=> ",-122.96,1000
"R_EX_so4_e","Sulfate exchange","None","1 M_so4_e <=> ",-112.0563,1000
"R_EX_pi_e","Phosphate exchange","None","1 M_pi_e <=> ",-64.2,1000
"R_EX_nh4_e","Ammonia exchange","None","1 M_nh4_e <=> ",-22.68,1000
"R_EX_k_e","K+ exchange","None","1 M_k_e <=> ",-22,1000
"R_EX_cl_e","Chloride exchange","None","1 M_cl_e <=> ",-8.7892,1000
"R_EX_mg2_e","Mg exchange","None","1 M_mg2_e <=> ",-1,1000
"R_EX_ca2_e","Calcium exchange","None","1 M_ca2_e <=> ",-0.1,1000
"R_EX_fe3_e","Fe3+ exchange","None","1 M_fe3_e <=> ",-0.06,1000
"R_EX_cobalt2_e","Co2+ exchange","None","1 M_cobalt2_e <=> ",-0.0076,1000
"R_EX_mn2_e","Mn2+ exchange","None","1 M_mn2_e <=> ",-0.0071,1000
"R_EX_cu2_e","Cu2+ exchange","None","1 M_cu2_e <=> ",-0.007,1000
"R_EX_zn2_e","Zinc exchange","None","1 M_zn2_e <=> ",-0.0063,1000
"R_EX_thm_e","Thiamin exchange","None","1 M_thm_e > ",-0.0028,1000
"R_EX_glc__D_e","D-Glucose exchange","None","1 M_glc__D_e <=> ",0,0
"R_EX_glyc_e","Glycerol exchange","None","1 M_glyc_e > ",-23.8896731458,1000
"R_EX_val__L_e","L-Valine exchange",,"1 M_val__L_e > ",-1.2,1000
"R_EX_thr__L_e","L-Threonine exchange",,"1 M_thr__L_e > ",-0.9,1000
"R_EX_leu__L_e","L-Leucine exchange",,"1 M_leu__L_e > ",-0.8,1000
"R_EX_asp__L_e","L-Aspartate exchange",,"1 M_asp__L_e > ",-0.6,1000
"R_EX_lys__L_e","L-Lysine exchange",,"1 M_lys__L_e > ",-0.4,1000
"R_EX_ile__L_e","L-Isoleucine exchange",,"1 M_ile__L_e > ",-0.4,1000
"R_EX_tyr__L_e","L-Tyrosine exchange",,"1 M_tyr__L_e > ",-0.3,1000
"R_EX_trp__L_e","L-Tryptophan exchange",,"1 M_trp__L_e > ",-0.3,1000
"R_EX_phe__L_e","L-Phenylalanine exchange",,"1 M_phe__L_e > ",-0.3,1000
"R_EX_arg__L_e","L-Arginine exchange",,"1 M_arg__L_e > ",-0.3,1000
"R_EX_met__L_e","L-Methionine exchange",,"1 M_met__L_e > ",-0.14,1000
"R_EX_ser__L_e","L-Serine exchange",,"1 M_ser__L_e > ",-0.1,1000
"R_EX_his__L_e","L-Histidine exchange",,"1 M_his__L_e > ",-0.1,1000
"R_EX_glu__L_e","L-Glutamate exchange",,"1 M_glu__L_e > ",-0.1,1000
"R_EX_gln__L_e","L-Glutamine exchange",,"1 M_gln__L_e > ",-0.1,1000
"R_EX_pro__L_e","L-Proline exchange",,"1 M_pro__L_e > ",-0.05,1000
"R_EX_gly_e","Glycine exchange","None","1 M_gly_e > ",-0.001,1000
"R_EX_cys__L_e","L-Cysteine exchange",,"1 M_cys__L_e > ",-0.01,1000
"R_EX_asn__L_e","L-Asparagine exchange",,"1 M_asn__L_e > ",-0.01,1000
