Entry,EC,kcat(s-1),kcat(h-1),Mw,#(cell)-1,conc_fmol(cell)-1,growth_rate1,conc_mmolgDW,0.9conc,1.1conc,growth_rate2,flux_ub_step2(mmol*(gDWh)-1)
P21179,1.11.1.6,151000,543600000,84163,3327.6653375286,5.52584745521182E-06,0.26,1.08562818373513E-05,9.77065365361619E-06,1.19419100210865E-05,0.26,1534.3834497639
P0A6D5,1.1.1.282,113000,406800000,31228,#N/A,#N/A,0.26,#N/A,#N/A,#N/A,0.26,#N/A
P0AGD1,1.15.1.1,100000,360000000,17681,719.3419851394,1.19452338947097E-06,0.26,2.34680430151467E-06,2.11212387136321E-06,2.58148473166614E-06,0.26,219.6608826218
P00448,1.15.1.1,100000,360000000,23097,25701.4456268423,4.26792521202961E-05,0.26,8.38492183109943E-05,7.54642964798948E-05,9.22341401420937E-05,0.26,7848.2868339091
P0AGD3,1.15.1.1,100000,360000000,21266,2783.1470214833,4.62163238373182E-06,0.26,9.07982786587783E-06,8.17184507929005E-06,9.98781065246562E-06,0.26,849.8718882462
P0A858,5.3.1.1,68330,245988000,26972,7398.6564075917,0.000012286,0.26,2.41376133208743E-05,2.17238519887869E-05,2.65513746529617E-05,0.26,1543.7664386496
P0A9C3,5.1.3.3,16500,59400000,38190,3098.1636332751,5.14474200145324E-06,0.26,1.01075481364504E-05,9.09679332280533E-06,1.11183029500954E-05,0.26,156.1009734193
P13029,1.11.1.21,16333.3333333333,58799999.9999999,80024,3943.6893019678,6.54880322478883E-06,0.26,0.000012866,1.15794163110215E-05,1.41526199356929E-05,0.26,196.6956850699
P45568,1.1.1.267,9833.3333333333,35400000,43388,17.40710156,2.8905847824643E-08,0.26,5.67894849207131E-08,5.11105364286418E-08,6.24684334127844E-08,0.26,0.5226904192
P0AC53,1.1.1.49,8000,28800000,55704,1197.860817216,1.98914117770839E-06,0.26,3.90793944539958E-06,3.51714550085962E-06,4.29873338993954E-06,0.26,29.2626505672
P12998,2.3.1.47,7000,25200000,41594,65.8961693028,1.09425721193672E-07,0.26,0.000000215,1.93483593466217E-07,2.36479947569821E-07,0.26,1.4085605604
P0A6F3,2.7.1.30,4900,17640000,56231,414.3304969066,0.000000688,0.26,1.3517250660695E-06,1.21655255946255E-06,1.48689757267645E-06,0.26,6.199551843
P08956,3.1.21.3,4000,14400000,134095,6.5385174988,1.0857717533654E-08,0.26,2.13314686319332E-08,1.91983217687399E-08,2.34646154951265E-08,0.26,0.0798650186
P15723,3.1.5.1,4000,14400000,59383,5.0570949223,8.39769997057195E-09,0.26,1.64984282329508E-08,1.48485854096557E-08,1.81482710562459E-08,0.26,0.0617701153
P56262,3.1.1.45,2650,9540000,29425,1158.1697127701,1.92323100758899E-06,0.26,3.77844991667778E-06,3.40060492501E-06,4.15629490834556E-06,0.26,9.3720671733
P0ABK9,1.7.2.2,2380,8568000,53703,0.6090098084,0.000000001,0.26,0.000000002,1.78816777095458E-09,2.18553838672227E-09,0.26,0.0044260729
P0ABK5,2.5.1.47,2030,7308000,34490,51116.9595538665,8.48836923843681E-05,0.26,0.0001667656,0.000150089,0.0001834422,0.26,316.8679886556
P16703,2.5.1.47,2030,7308000,32664,641.3417128491,0.000001065,0.26,2.09233371824298E-06,1.88310034641868E-06,2.30156709006728E-06,0.26,3.9756014514
P60546,2.7.4.8,1500,5400000,23593,279.2171277992,4.636617864483E-07,0.26,9.10926888896463E-07,8.19834200006817E-07,0.000001002,0.26,1.278941352
P52643,1.1.1.28,1340,4824000,36535,275.6472583872,4.57733740264313E-07,0.26,8.99280432739318E-07,8.09352389465386E-07,9.89208476013249E-07,0.26,1.12791349
P00393,1.6.99.3,1170,4212000,47359,365.0945186106,6.06267882116637E-07,0.26,1.19109603559261E-06,0.000001072,1.31020563915187E-06,0.26,1.3043930905
P0A9D4,2.3.1.30,1080,3888000,29317,413.7155038869,0.000000687,0.26,1.34971869317062E-06,1.21474682385356E-06,1.48469056248768E-06,0.26,1.3644036326
P52061,3.6.1.66,1009,3632400,21039,274.8222251006,4.56363708237509E-07,0.26,8.96588817755421E-07,8.06929935979879E-07,9.86247699530963E-07,0.26,0.8467599976
Q46939,2.3.1.9,1000,3600000,41019,80.3716313264,1.33463353248802E-07,0.26,2.62206980842441E-07,0.000000236,2.88427678926685E-07,0.26,0.2454257341
P76461,2.3.1.9,1000,3600000,40352,#N/A,#N/A,0.26,#N/A,#N/A,#N/A,0.26,#N/A
P0A7A9,3.6.1.1,916,3297600,19704,7074.2962242765,1.17474198344014E-05,0.26,2.30794102836962E-05,2.07714692553266E-05,2.53873513120659E-05,0.26,19.7877324714
P0ACC7,2.3.1.157,853,3070800,49190,257.2715953472,4.27219520669538E-07,0.26,8.39331081865498E-07,7.55397973678948E-07,9.23264190052048E-07,0.26,0.6701286504
P37197,1.11.1.5,830,2988000,51571,#N/A,#N/A,0.26,#N/A,#N/A,#N/A,0.26,#N/A
P25718,3.2.1.1,706,2541600,75713,3.351790192,5.56590865493192E-09,0.26,1.09349875342474E-08,9.84148878082264E-09,0.000000012,0.26,0.0072260147
P26612,3.2.1.1,706,2541600,56639,165.613248289,0.000000275,0.26,5.40301958597836E-07,4.86271762738053E-07,5.9433215445762E-07,0.26,0.3570401791
P0AC33,4.2.1.2,650,2340000,60299,2087.6741311519,3.46674548514097E-06,0.26,6.81089486275239E-06,6.12980537647715E-06,0.000007492,0.26,4.1437484345
P14407,4.2.1.2,650,2340000,60105,1.475723856,2.45055439388907E-09,0.26,4.8144487109805E-09,4.33300383988245E-09,5.29589358207855E-09,0.26,0.0029291106
P0ACX5,4.2.1.2,650,2340000,7907,25.9524474929,4.30960602671646E-08,0.26,8.46680948274353E-08,7.62012853446918E-08,9.31349043101788E-08,0.26,0.0515120689
P11663,4.2.1.2,650,2340000,19272,#N/A,#N/A,0.26,#N/A,#N/A,#N/A,0.26,#N/A
P05042,4.2.1.2,650,2340000,50489,2031.9546614512,3.37421896620922E-06,0.26,6.62911388253284E-06,5.96620249427956E-06,0.000007292,0.26,4.0331528861
P0A731,4.2.3.3,600,2160000,16919,542.4483896429,9.00777797480716E-07,0.26,1.76970097736879E-06,1.59273087963191E-06,1.94667107510567E-06,0.26,0.9938640689
P0A799,2.7.2.3,575,2070000,41118,29925.9345913143,4.96943450536604E-05,0.26,9.76313262350892E-05,8.78681936115803E-05,0.0001073945,0.26,52.5451797797
P0A7E9,2.7.4.22,545.2,1962720,25970,473.2855468805,7.85927510595364E-07,0.26,1.54406190686712E-06,1.38965571618041E-06,1.69846809755383E-06,0.26,0.7879459083
P0AED7,3.5.1.18,470,1692000,41269,40.3032566919,6.69266965990233E-08,0.26,1.3148663378983E-07,1.18337970410847E-07,1.44635297168813E-07,0.26,0.0578435999
P77608,4.2.1.80,450,1620000,28890,5.385008075,8.94222529890402E-09,0.26,1.7568222591167E-08,1.58114003320503E-08,1.93250448502837E-08,0.26,0.0073997354
P0AEK2,1.1.1.100,361,1299600,25560,2531.1360425152,4.20314852626237E-06,0.26,8.25765918715594E-06,7.43189326844034E-06,9.08342510587153E-06,0.26,2.7902300087
P62707,5.4.2.11,330,1188000,28556,9065.4139583878,1.50538259023378E-05,0.26,2.95752964682471E-05,2.66177668214224E-05,3.25328261150718E-05,0.26,9.1352175731
P37306,2.7.2.2,319,1148400,31644,#N/A,#N/A,0.26,#N/A,#N/A,#N/A,0.26,#N/A
P0A717,2.7.6.1,311,1119600,34218,5139.0478678388,8.53378921926068E-06,0.26,1.67657941439306E-05,1.50892147295375E-05,1.84423735583237E-05,0.26,4.8804556121
P0A6M4,3.1.1.96,300,1080000,15950,4.4115966724,7.32579985446133E-09,0.26,1.43925340952089E-08,0.000000013,1.58317875047298E-08,0.26,0.0040414236
P0A763,2.7.4.6,264,950400,15463,14373.6652451835,2.38685905765252E-05,0.26,4.68931052583993E-05,4.22037947325594E-05,5.15824157842392E-05,0.26,11.5874738818
P21156,2.7.7.4,260,936000,35188,420.3652734663,0.000000698,0.26,1.37141311414884E-06,1.23427180273396E-06,1.50855442556373E-06,0.26,0.3337470955
P23845,2.7.7.4,260,936000,52558,583.3901515751,9.68764781758675E-07,0.26,1.90327069107795E-06,1.71294362197015E-06,2.09359776018574E-06,0.26,0.4631799554
P27306,1.6.1.1,259.5,934200,51560,1177.8227461047,1.95586640004095E-06,0.26,3.84256660125923E-06,3.45830994113331E-06,4.22682326138516E-06,0.26,0.9333286869
P0AGF6,4.3.1.19,243,874800,35232,#N/A,#N/A,0.26,#N/A,#N/A,#N/A,0.26,#N/A
P04968,4.3.1.19,243,874800,56195,79.3851867266,1.31825285165463E-07,0.26,0.000000259,2.33089895184512E-07,2.84887649669959E-07,0.26,0.0589064783
P15770,1.1.1.25,236.666667,852000.0012,29414,105.9861379503,0.000000176,0.26,3.45772566569409E-07,3.11195309912468E-07,3.8034982322635E-07,0.26,0.0765955391
P04391,2.1.3.3,220,792000,36907,277.8163550703,4.61335694238225E-07,0.26,9.06356963139931E-07,8.15721266825938E-07,0.000000997,0.26,0.1866370258
P06960,2.1.3.3,220,792000,36827,23.9213049361,3.97231898640688E-08,0.26,0.000000078,7.02374673431471E-08,8.5845793419402E-08,0.26,0.0160703325
P0A6K3,3.5.1.88,194,698400,19328,316.9933703019,5.2639217917947E-07,0.26,1.03416931076517E-06,9.30752379688651E-07,1.13758624184168E-06,0.26,0.1877886001
P0A6C8,2.7.2.8,187.5,675000,27160,2759.1571603094,4.58179535089572E-06,0.26,9.00156257543363E-06,8.10140631789027E-06,9.90171883297699E-06,0.26,1.579774232
P37095,3.4.11.23,178.333333,641999.9988,46180,2576.1326475582,4.27786889332156E-06,0.26,8.40445755072997E-06,0.000007564,9.24490330580297E-06,0.26,1.4028720517
P24186,3.5.4.9,177,637200,31044,1125.3393061289,1.86871356049303E-06,0.26,3.67134294792343E-06,3.30420865313109E-06,4.03847724271577E-06,0.26,0.6082387289
P0A9P0,1.8.1.4,176.4,635040,50688,9013.0607083438,1.49668892533109E-05,0.26,2.9404497550709E-05,0.000026464,3.23449473057799E-05,0.26,4.8549883524
