Entry,EC,kcat(s-1),kcat(h-1),Mw,#(cell)-1,conc_fmol(cell)-1,growth_rate1,conc_mmolgDW,0.9conc,1.1conc,growth_rate2,flux_ub_step2(mmol*(gDWh)-1)
P21179,1.11.1.6,151000,543600000,84163,1150.4851551618,1.91047020119861E-06,0.4,3.75337957013479E-06,0.000003378,4.12871752714826E-06,0.4,816.1348537301
P0A6D5,1.1.1.282,113000,406800000,31228,#N/A,#N/A,0.4,#N/A,#N/A,#N/A,0.4,#N/A
P0AGD1,1.15.1.1,100000,360000000,17681,243.810787116,4.04866800259009E-07,0.4,7.95416110528504E-07,7.15874499475654E-07,0.000000875,0.4,114.5399199161
P00448,1.15.1.1,100000,360000000,23097,22602.1635728173,3.75326528940838E-05,0.4,0.000073738,6.63642192626237E-05,8.11118235432068E-05,0.4,10618.2750820198
P0AGD3,1.15.1.1,100000,360000000,21266,4198.1992857693,6.9714368744094E-06,0.4,1.36963396353819E-05,1.23267056718437E-05,0.000015066,0.4,1972.272907495
P0A858,5.3.1.1,68330,245988000,26972,6821.5491328504,1.13277136048661E-05,0.4,2.22548400881455E-05,2.0029356079331E-05,2.44803240969601E-05,0.4,2189.7694414411
P0A9C3,5.1.3.3,16500,59400000,38190,1067.9327801347,1.77338555319608E-06,0.4,3.48405806128896E-06,3.13565225516006E-06,3.83246386741786E-06,0.4,82.7812195362
P13029,1.11.1.21,16333.3333333333,58799999.9999999,80024,3661.3852266551,0.00000608,0.4,0.000011945,1.07505182503369E-05,1.31395223059673E-05,0.4,280.9468769421
P45568,1.1.1.267,9833.3333333333,35400000,43388,72.2648369,0.00000012,0.4,2.35759115398092E-07,2.12183203858283E-07,2.59335026937901E-07,0.4,3.338349074
P0AC53,1.1.1.49,8000,28800000,55704,997.8732926915,0.000001657,0.4,3.25549374849993E-06,2.92994437364994E-06,0.000003581,0.4,37.5032879827
P12998,2.3.1.47,7000,25200000,41594,132.701658367,2.20361438669895E-07,0.4,4.32930134911386E-07,3.89637121420247E-07,4.76223148402524E-07,0.4,4.3639357599
P0A6F3,2.7.1.30,4900,17640000,56231,611.7676775319,1.01588787368294E-06,0.4,1.99585043945568E-06,1.79626539551011E-06,2.19543548340125E-06,0.4,14.0827207008
P08956,3.1.21.3,4000,14400000,134095,5.4873639218,9.11219515417642E-09,0.4,1.79021515799144E-08,1.61119364219229E-08,1.96923667379058E-08,0.4,0.1031163931
P15723,3.1.5.1,4000,14400000,59383,3.7804579465,6.27774484642419E-09,0.4,1.23334869281418E-08,1.11001382353277E-08,1.3566835620956E-08,0.4,0.0710408847
P56262,3.1.1.45,2650,9540000,29425,942.566560924,1.56520518253738E-06,0.4,3.07505929771588E-06,2.76755336794429E-06,3.38256522748747E-06,0.4,11.7344262801
P0ABK9,1.7.2.2,2380,8568000,53703,0.0357981605,5.94456335840717E-11,0.4,1.16789064015858E-10,1.05110157614272E-10,1.28467970417444E-10,0.4,0.0004002595
P0ABK5,2.5.1.47,2030,7308000,34490,61734.365593053,0.0001025147,0.4,0.0002014042,0.0001812638,0.0002215446,0.4,588.7446667446
P16703,2.5.1.47,2030,7308000,32664,974.018811374,1.61743409394561E-06,0.4,3.17767012562989E-06,2.8599031130669E-06,3.49543713819288E-06,0.4,9.2889653112
P60546,2.7.4.8,1500,5400000,23593,231.7658650833,3.84865269151984E-07,0.4,7.56120371614901E-07,6.80508334453411E-07,8.31732408776391E-07,0.4,1.6332200027
P52643,1.1.1.28,1340,4824000,36535,545.8943395415,9.06500065661785E-07,0.4,1.78094315454182E-06,1.60284883908764E-06,0.000001959,0.4,3.436507911
P00393,1.6.99.3,1170,4212000,47359,560.8680748893,9.31365119377803E-07,0.4,1.82979394769706E-06,1.64681455292735E-06,2.01277334246677E-06,0.4,3.0828368431
P0A9D4,2.3.1.30,1080,3888000,29317,481.884543107,8.00206813528725E-07,0.4,1.57211554720771E-06,1.41490399248694E-06,1.72932710192848E-06,0.4,2.444954099
P52061,3.6.1.66,1009,3632400,21039,455.6751628743,7.56684096436923E-07,0.4,1.4866092267916E-06,1.33794830411244E-06,1.63527014947076E-06,0.4,2.1599837422
Q46939,2.3.1.9,1000,3600000,41019,46.9833024736,0.000000078,0.4,1.53279828818746E-07,0.000000138,1.68607811700621E-07,0.4,0.2207229535
P76461,2.3.1.9,1000,3600000,40352,#N/A,#N/A,0.4,#N/A,#N/A,#N/A,0.4,#N/A
P0A7A9,3.6.1.1,916,3297600,19704,6701.1711672486,1.11278166178157E-05,0.4,2.18621151627027E-05,1.96759036464324E-05,2.40483266789729E-05,0.4,28.8370043842
P0ACC7,2.3.1.157,853,3070800,49190,352.1128107867,5.84710745245274E-07,0.4,1.14874409674907E-06,1.03386968707416E-06,1.26361850642397E-06,0.4,1.4110253489
P37197,1.11.1.5,830,2988000,51571,#N/A,#N/A,0.4,#N/A,#N/A,#N/A,0.4,#N/A
P25718,3.2.1.1,706,2541600,75713,3.70020795,6.14448347725008E-09,0.4,1.20716767725935E-08,1.08645090953341E-08,1.32788444498528E-08,0.4,0.0122725495
P26612,3.2.1.1,706,2541600,56639,99.41406094,1.65084790667521E-07,0.4,3.24331612313402E-07,2.91898451082061E-07,3.56764773544742E-07,0.4,0.3297284903
P0AC33,4.2.1.2,650,2340000,60299,3289.4421540813,5.46237488223399E-06,0.4,1.07315813010491E-05,9.65842317094419E-06,1.1804739431154E-05,0.4,10.0447600978
P14407,4.2.1.2,650,2340000,60105,2.364204651,3.92594594985055E-09,0.4,7.71305687593428E-09,6.94175118834085E-09,8.48436256352771E-09,0.4,0.0072194212
P0ACX5,4.2.1.2,650,2340000,7907,24.7402746091,4.10831527883492E-08,0.4,8.07134632384071E-08,7.26421169145664E-08,8.87848095622478E-08,0.4,0.0755478016
P11663,4.2.1.2,650,2340000,19272,#N/A,#N/A,0.4,#N/A,#N/A,#N/A,0.4,#N/A
P05042,4.2.1.2,650,2340000,50489,612.0881768432,1.01642008775025E-06,0.4,1.9968960466606E-06,1.79720644199454E-06,2.19658565132666E-06,0.4,1.8690946997
P0A731,4.2.3.3,600,2160000,16919,1573.0412890627,2.61215757067868E-06,0.4,5.13194021744338E-06,4.61874619569904E-06,5.64513423918772E-06,0.4,4.4339963479
P0A799,2.7.2.3,575,2070000,41118,28150.149477161,4.67455155715061E-05,0.4,9.18379480776152E-05,8.26541532698537E-05,0.0001010217,0.4,76.0418210083
P0A7E9,2.7.4.22,545.2,1962720,25970,573.0536252949,9.51600174850434E-07,0.4,1.86954847711284E-06,1.68259362940155E-06,2.05650332482412E-06,0.4,1.4677600748
P0AED7,3.5.1.18,470,1692000,41269,54.4813070233,9.04704533765259E-08,0.4,1.77741558696515E-07,0.00000016,1.95515714566166E-07,0.4,0.1202954869
P77608,4.2.1.80,450,1620000,28890,3.875104665,6.43491309365659E-09,0.4,1.26422654099344E-08,1.13780388689409E-08,1.39064919509278E-08,0.4,0.008192188
P0AEK2,1.1.1.100,361,1299600,25560,3347.3422538187,5.55852250717157E-06,0.4,1.0920476438451E-05,9.82842879460592E-06,1.20125240822961E-05,0.4,5.6769004718
P62707,5.4.2.11,330,1188000,28556,9316.2353263734,1.54703343181225E-05,0.4,3.03935841220481E-05,2.73542257098433E-05,3.34329425342529E-05,0.4,14.4430311748
P37306,2.7.2.2,319,1148400,31644,#N/A,#N/A,0.4,#N/A,#N/A,#N/A,0.4,#N/A
P0A717,2.7.6.1,311,1119600,34218,7820.9369649618,1.29872749335134E-05,0.4,2.5515274918494E-05,2.29637474266446E-05,2.80668024103434E-05,0.4,11.4267607195
P0A6M4,3.1.1.96,300,1080000,15950,5.947942259,9.87702135335316E-09,0.4,1.94047570792793E-08,1.74642813713514E-08,2.13452327872072E-08,0.4,0.0083828551
P0A763,2.7.4.6,264,950400,15463,15319.6118394208,2.54394085676201E-05,0.4,4.99791916849117E-05,4.49812725164206E-05,5.49771108534029E-05,0.4,19.0000895109
P21156,2.7.7.4,260,936000,35188,736.2955550467,1.22267611266472E-06,0.4,2.40211417026468E-06,2.16190275323822E-06,2.64232558729115E-06,0.4,0.8993515453
P23845,2.7.7.4,260,936000,52558,1001.0749590773,1.6623629343695E-06,0.4,3.2659389673271E-06,2.93934507059439E-06,3.59253286405981E-06,0.4,1.2227675494
P27306,1.6.1.1,259.5,934200,51560,1125.4236023527,1.8688535409377E-06,0.4,3.67161795862023E-06,3.3044561627582E-06,4.03877975448225E-06,0.4,1.3720101988
P0AGF6,4.3.1.19,243,874800,35232,#N/A,#N/A,0.4,#N/A,#N/A,#N/A,0.4,#N/A
P04968,4.3.1.19,243,874800,56195,150.4279433078,2.49797315356773E-07,0.4,4.90760933903288E-07,4.41684840512959E-07,5.39837027293617E-07,0.4,0.171727066
P15770,1.1.1.25,236.666667,852000.0012,29414,115.4972570357,1.91792190361541E-07,0.4,3.76801945700474E-07,3.39121751130426E-07,4.14482140270521E-07,0.4,0.1284141033
P04391,2.1.3.3,220,792000,36907,281.1172348187,4.66817062136705E-07,0.4,9.17125858814746E-07,8.25413272933271E-07,1.00883844469622E-06,0.4,0.2905454721
P06960,2.1.3.3,220,792000,36827,32.0685534442,5.32523305284376E-08,0.4,1.04621474515594E-07,9.4159327064035E-08,1.15083621967154E-07,0.4,0.0331440831
P0A6K3,3.5.1.88,194,698400,19328,309.1690836878,5.13399341892713E-07,0.4,1.00864310784423E-06,9.07778797059808E-07,1.10950741862865E-06,0.4,0.2817745386
P0A6C8,2.7.2.8,187.5,675000,27160,3904.5972440332,6.4838878180558E-06,0.4,1.27384829431352E-05,1.14646346488216E-05,1.40123312374487E-05,0.4,3.4393903946
P37095,3.4.11.23,178.333333,641999.9988,46180,2712.5539429549,4.50440707896862E-06,0.4,8.84952274846486E-06,7.96457047361838E-06,9.73447502331135E-06,0.4,2.2725574376
P24186,3.5.4.9,177,637200,31044,1374.9720546627,2.28324818110702E-06,0.4,4.48575281160516E-06,4.03717753044464E-06,4.93432809276567E-06,0.4,1.1433286766
P0A9P0,1.8.1.4,176.4,635040,50688,24278.6997918705,4.0316671856311E-05,0.4,7.92076067903949E-05,7.12868461113554E-05,8.71283674694344E-05,0.4,20.1199994465
P0A6K6,5.4.2.7,173,622800,44370,1026.7378366673,0.000001705,0.4,3.34966236004105E-06,3.01469612403694E-06,3.68462859604515E-06,0.4,0.8344678871
