Entry,EC,kcat(s-1),kcat(h-1),Mw,#(cell)-1,conc_fmol(cell)-1,growth_rate1,conc_mmolgDW,0.9conc,1.1conc,growth_rate2,flux_ub_step2(mmol*(gDWh)-1)
P21179,1.11.1.6,151000,543600000,84163,1121.0121559776,1.8615279906635E-06,0.65,3.65722591485953E-06,3.29150332337358E-06,4.02294850634548E-06,0.65,1292.2442047565
P0A6D5,1.1.1.282,113000,406800000,31228,#N/A,#N/A,0.65,#N/A,#N/A,#N/A,0.65,#N/A
P0AGD1,1.15.1.1,100000,360000000,17681,236.675503327,0.000000393,0.65,7.7213773246296E-07,6.94923959216664E-07,8.49351505709256E-07,0.65,180.6802293963
P00448,1.15.1.1,100000,360000000,23097,28498.5293009329,0.000047324,0.65,9.29745135581222E-05,8.367706220231E-05,0.000102272,0.65,21756.0361726006
P0AGD3,1.15.1.1,100000,360000000,21266,4439.8856091498,7.37277583718007E-06,0.65,1.44848248274658E-05,1.30363423447192E-05,1.59333073102123E-05,0.65,3389.449009627
P0A858,5.3.1.1,68330,245988000,26972,9342.2370769678,1.55135122500295E-05,0.65,3.04784130648909E-05,2.74305717584018E-05,3.352625437138E-05,0.65,4873.2605174542
P0A9C3,5.1.3.3,16500,59400000,38190,1278.8559361667,2.12363988071513E-06,0.65,4.17218051221047E-06,0.000003755,4.58939856343152E-06,0.65,161.0878895764
P13029,1.11.1.21,16333.3333333333,58799999.9999999,80024,2927.1510545144,4.86076229577275E-06,0.65,9.54963122941601E-06,8.59466810647441E-06,1.05045943523576E-05,0.65,364.9869055883
P45568,1.1.1.267,9833.3333333333,35400000,43388,NA,#VALUE!,0.65,#VALUE!,#VALUE!,#VALUE!,0.65,#VALUE!
P0AC53,1.1.1.49,8000,28800000,55704,1519.3525184143,0.000002523,0.65,4.95678425476681E-06,4.46110582929012E-06,5.45246268024349E-06,0.65,92.7910012492
P12998,2.3.1.47,7000,25200000,41594,111.5192584976,1.85186413978125E-07,0.65,3.63823996027751E-07,3.27441596424976E-07,4.00206395630526E-07,0.65,5.9594370549
P0A6F3,2.7.1.30,4900,17640000,56231,424.5154098808,7.04940899835257E-07,0.65,0.000001385,1.24645738674211E-06,1.52344791712924E-06,0.65,15.8798671071
P08956,3.1.21.3,4000,14400000,134095,6.1592979018,1.02279938589081E-08,0.65,2.0094290489014E-08,1.80848614401126E-08,2.21037195379154E-08,0.65,0.188082559
P15723,3.1.5.1,4000,14400000,59383,2.3777897072,3.94850499375073E-09,0.65,7.75737719793857E-09,0.000000007,8.53311491773242E-09,0.65,0.0726090506
P56262,3.1.1.45,2650,9540000,29425,962.448250115,1.59822027584689E-06,0.65,3.13992195647719E-06,2.82592976082947E-06,3.45391415212491E-06,0.65,19.4706560521
P0ABK9,1.7.2.2,2380,8568000,53703,0.4675077952,7.76333103953027E-10,0.65,1.52521238497648E-09,1.37269114647883E-09,1.67773362347413E-09,0.65,0.0084942128
P0ABK5,2.5.1.47,2030,7308000,34490,75498.2414813922,0.0001253707,0.65,0.0002463079,0.0002216771,0.0002709387,0.65,1170.011681741
P16703,2.5.1.47,2030,7308000,32664,1181.3580867137,1.96173710845855E-06,0.65,3.85410040954529E-06,3.46869036859076E-06,4.23951045049982E-06,0.65,18.3077477654
P60546,2.7.4.8,1500,5400000,23593,368.2482859532,6.11504958407858E-07,0.65,1.20138498704884E-06,1.08124648834395E-06,1.32152348575372E-06,0.65,4.2168613045
