Entry,EC,kcat(s-1),kcat(h-1),Mw,#(cell)-1,conc_fmol(cell)-1,growth_rate1,conc_mmolgDW,0.9conc,1.1conc,growth_rate2,flux_ub_step2(mmol*(gDWh)-1)
P21179,1.11.1.6,151000,543600000,84163,1791.4214389255,2.97479481721275E-06,0.47,5.8443906035614E-06,0.00000526,6.42882966391754E-06,0.47,1493.1950440851
P0A6D5,1.1.1.282,113000,406800000,31228,#N/A,#N/A,0.47,#N/A,#N/A,#N/A,0.47,#N/A
P0AGD1,1.15.1.1,100000,360000000,17681,291.1593185437,4.83492724250517E-07,0.47,9.49887473969581E-07,8.54898726572623E-07,1.04487622136654E-06,0.47,160.7209605957
P00448,1.15.1.1,100000,360000000,23097,30604.7279515158,5.08215342934504E-05,0.47,9.98458434055999E-05,8.98612590650399E-05,0.0001098304,0.47,16893.9167042275
P0AGD3,1.15.1.1,100000,360000000,21266,4758.9190565321,7.90255572323502E-06,0.47,1.55256497509529E-05,1.39730847758576E-05,1.70782147260482E-05,0.47,2626.9399378612
P0A858,5.3.1.1,68330,245988000,26972,6227.393794565,1.03410723921703E-05,0.47,2.03164487076038E-05,1.82848038368434E-05,2.23480935783642E-05,0.47,2348.8732148024
P0A9C3,5.1.3.3,16500,59400000,38190,1387.9550690908,2.30480748769638E-06,0.47,4.52810901315595E-06,4.07529811184036E-06,4.98091991447155E-06,0.47,126.4157474293
P13029,1.11.1.21,16333.3333333333,58799999.9999999,80024,3900.2562546064,6.47667926703159E-06,0.47,1.27243207603764E-05,1.14518886843388E-05,1.3996752836414E-05,0.47,351.6493285338
P45568,1.1.1.267,9833.3333333333,35400000,43388,NA,#VALUE!,0.47,#VALUE!,#VALUE!,#VALUE!,0.47,#VALUE!
P0AC53,1.1.1.49,8000,28800000,55704,985.7466349805,1.63690905842003E-06,0.47,3.21593135249515E-06,2.89433821724564E-06,3.53752448774467E-06,0.47,43.5308467874
P12998,2.3.1.47,7000,25200000,41594,89.467645115,1.48567992552284E-07,0.47,2.91882107175412E-07,2.6269389645787E-07,3.21070317892953E-07,0.47,3.4570516774
P0A6F3,2.7.1.30,4900,17640000,56231,783.4641279972,0.000001301,0.47,0.000002556,2.30039858827207E-06,2.81159827455475E-06,0.47,21.1912717952
P08956,3.1.21.3,4000,14400000,134095,8.5862082807,1.42580675535444E-08,0.47,0.000000028,2.52107284836739E-08,3.08131125911569E-08,0.47,0.1895846782
P15723,3.1.5.1,4000,14400000,59383,3.7958297911,6.30327099149787E-09,0.47,1.23836365255361E-08,1.11452728729825E-08,1.36220001780897E-08,0.47,0.083812452
P56262,3.1.1.45,2650,9540000,29425,1536.6116577476,2.55166333070012E-06,0.47,5.01309102298648E-06,4.51178192068783E-06,5.51440012528513E-06,0.47,22.4776975289
P0ABK9,1.7.2.2,2380,8568000,53703,0.4805079859,7.97920933158258E-10,0.47,1.5676246231007E-09,1.41086216079063E-09,1.72438708541077E-09,0.47,0.0063127617
P0ABK5,2.5.1.47,2030,7308000,34490,66746.0125795455,0.000110837,0.47,0.0002177543,0.0001959789,0.0002395298,0.47,747.9338501712
P16703,2.5.1.47,2030,7308000,32664,800.8686437716,1.32990475551571E-06,0.47,2.61277948038449E-06,2.35150153234604E-06,2.87405742842294E-06,0.47,8.974270448
P60546,2.7.4.8,1500,5400000,23593,274.021740277,0.000000455,0.47,0.000000894,8.04579561415805E-07,9.83375019508207E-07,0.47,2.2689143632
P52643,1.1.1.28,1340,4824000,36535,360.1251590879,0.000000598,0.47,1.17488383813338E-06,1.05739545432004E-06,1.29237222194672E-06,0.47,2.6637906285
P00393,1.6.99.3,1170,4212000,47359,363.9876325343,6.04429811581348E-07,0.47,1.18748489505177E-06,1.06873640554659E-06,1.30623338455694E-06,0.47,2.3507925976
P0A9D4,2.3.1.30,1080,3888000,29317,517.7344773676,8.59738421400875E-07,0.47,1.68907351945162E-06,1.52016616750646E-06,0.000001858,0.47,3.0865453865
P52061,3.6.1.66,1009,3632400,21039,481.0730228869,7.98859221001182E-07,0.47,1.56946801768405E-06,1.41252121591565E-06,1.72641481945246E-06,0.47,2.6794397449
Q46939,2.3.1.9,1000,3600000,41019,65.7883877147,1.09246741472517E-07,0.47,2.14630140417519E-07,1.93167126375767E-07,2.36093154459271E-07,0.47,0.3631541976
P76461,2.3.1.9,1000,3600000,40352,#N/A,#N/A,0.47,#N/A,#N/A,#N/A,0.47,#N/A
P0A7A9,3.6.1.1,916,3297600,19704,8214.3813642729,1.36406200004532E-05,0.47,2.67988605116958E-05,0.000024119,2.94787465628654E-05,0.47,41.534803539
P0ACC7,2.3.1.157,853,3070800,49190,320.1027717262,5.31555582408187E-07,0.47,1.04431352143062E-06,9.3988216928756E-07,1.14874487357369E-06,0.47,1.507232642
P37197,1.11.1.5,830,2988000,51571,#N/A,#N/A,0.47,#N/A,#N/A,#N/A,0.47,#N/A
P25718,3.2.1.1,706,2541600,75713,NA,#VALUE!,0.47,#VALUE!,#VALUE!,#VALUE!,0.47,#VALUE!
P26612,3.2.1.1,706,2541600,56639,184.9926906137,3.07194770198701E-07,0.47,6.03526071117292E-07,5.43173464005562E-07,6.63878678229021E-07,0.47,0.7209432753
P0AC33,4.2.1.2,650,2340000,60299,4336.1565744332,7.20052569650141E-06,0.47,1.41464159066825E-05,1.27317743160143E-05,1.55610574973508E-05,0.47,15.5582282142
P14407,4.2.1.2,650,2340000,60105,NA,#VALUE!,0.47,#VALUE!,#VALUE!,#VALUE!,0.47,#VALUE!
P0ACX5,4.2.1.2,650,2340000,7907,43.9196538644,7.29320057529176E-08,0.47,1.43284883601017E-07,0.000000129,1.57613371961119E-07,0.47,0.157584715
P11663,4.2.1.2,650,2340000,19272,#N/A,#N/A,0.47,#N/A,#N/A,#N/A,0.47,#N/A
P05042,4.2.1.2,650,2340000,50489,1270.5940930403,2.10992044676235E-06,0.47,4.14522681092801E-06,3.7307041298352E-06,4.55974949202081E-06,0.47,4.5589204467
P0A731,4.2.3.3,600,2160000,16919,651.1610723914,1.08130367384826E-06,0.47,2.12436871090032E-06,1.91193183981029E-06,2.33680558199035E-06,0.47,2.1566591153
P0A799,2.7.2.3,575,2070000,41118,25202.8502583239,4.18512956797142E-05,0.47,8.22225848324444E-05,7.40003263492E-05,9.04448433156889E-05,0.47,79.9943527835
P0A7E9,2.7.4.22,545.2,1962720,25970,624.2008264821,1.03653408582211E-06,0.47,2.03641274228313E-06,1.83277146805481E-06,2.24005401651144E-06,0.47,1.8785467682
P0AED7,3.5.1.18,470,1692000,41269,44.5356351044,0.000000074,0.47,1.45294480501345E-07,1.30765032451211E-07,1.5982392855148E-07,0.47,0.1155439827
P77608,4.2.1.80,450,1620000,28890,NA,#VALUE!,0.47,#VALUE!,#VALUE!,#VALUE!,0.47,#VALUE!
P0AEK2,1.1.1.100,361,1299600,25560,3498.5951016048,5.80968964065884E-06,0.47,1.14139285671097E-05,1.02725357103987E-05,1.25553214238207E-05,0.47,6.9717645359
P62707,5.4.2.11,330,1188000,28556,10334.4038581746,1.71610824612664E-05,0.47,3.37152897077925E-05,3.03437607370132E-05,3.70868186785717E-05,0.47,18.8252691612
P37306,2.7.2.2,319,1148400,31644,#N/A,#N/A,0.47,#N/A,#N/A,#N/A,0.47,#N/A
P0A717,2.7.6.1,311,1119600,34218,6539.0842515903,1.08586586708574E-05,0.47,2.13333176244742E-05,0.0000192,2.34666493869217E-05,0.47,11.2258477338
P0A6M4,3.1.1.96,300,1080000,15950,5.068211841,8.41616047994281E-09,0.47,1.65346964242491E-08,1.48812267818242E-08,1.8188166066674E-08,0.47,0.0083930119
P0A763,2.7.4.6,264,950400,15463,27706.9470229713,4.60095433792283E-05,0.47,0.000090392,8.13528271931346E-05,9.94312332360534E-05,0.47,40.3770351925
P21156,2.7.7.4,260,936000,35188,625.5518228835,1.03877752056371E-06,0.47,2.04082027615661E-06,1.83673824854095E-06,2.24490230377227E-06,0.47,0.8977976559
P23845,2.7.7.4,260,936000,52558,821.0608638576,1.36343550956098E-06,0.47,2.67865522507069E-06,2.41078970256362E-06,2.94652074757776E-06,0.47,1.1783940066
P27306,1.6.1.1,259.5,934200,51560,1283.7036707118,2.13168992147429E-06,0.47,0.000004188,3.7691963248072E-06,4.60679550809769E-06,0.47,1.838840119
P0AGF6,4.3.1.19,243,874800,35232,#N/A,#N/A,0.47,#N/A,#N/A,#N/A,0.47,#N/A
P04968,4.3.1.19,243,874800,56195,104.1789995005,0.000000173,0.47,3.39876900286856E-07,3.0588921025817E-07,3.73864590315541E-07,0.47,0.1397424268
P15770,1.1.1.25,236.666667,852000.0012,29414,90.8801970933,1.50913645123344E-07,0.47,2.96490461931913E-07,2.66841415738722E-07,3.26139508125104E-07,0.47,0.1187266407
P04391,2.1.3.3,220,792000,36907,361.9130988907,0.000000601,0.47,1.18071687013607E-06,1.06264518312246E-06,1.29878855714968E-06,0.47,0.4395100477
P06960,2.1.3.3,220,792000,36827,34.9553375803,0.000000058,0.47,0.000000114,1.02635470277054E-07,1.25443352560844E-07,0.47,0.0424500305
P0A6K3,3.5.1.88,194,698400,19328,624.7391895213,1.03742807957702E-06,0.47,2.03816911508255E-06,1.83435220357429E-06,0.000002242,0.47,0.6690249357
P0A6C8,2.7.2.8,187.5,675000,27160,3547.196203488,5.89039555544331E-06,0.47,1.15724863564702E-05,1.04152377208231E-05,1.27297349921172E-05,0.47,3.6713712966
P37095,3.4.11.23,178.333333,641999.9988,46180,4087.4945086846,6.78760297025008E-06,0.47,1.33351728295679E-05,1.20016555466112E-05,1.46686901125247E-05,0.47,4.0237550421
P24186,3.5.4.9,177,637200,31044,1311.9490901989,2.17859364031697E-06,0.47,4.2801446764577E-06,3.85213020881193E-06,4.70815914410348E-06,0.47,1.2818348483
P0A9P0,1.8.1.4,176.4,635040,50688,12836.291186328,2.13156612194088E-05,0.47,4.18775269536519E-05,3.76897742582867E-05,4.60652796490171E-05,0.47,12.4991352168
P0A6K6,5.4.2.7,173,622800,44370,1377.2189894374,0.000002287,0.47,4.49308328348574E-06,4.04377495513716E-06,4.94239161183431E-06,0.47,1.3151973664
P08997,2.3.3.9,161,579600,60274,12725.592872034,2.11318380472169E-05,0.47,4.15163812322532E-05,3.73647431090279E-05,0.000045668,0.47,11.3095604442
P37330,2.3.3.9,161,579600,80489,1168.3775802401,1.94018196652293E-06,0.47,3.81175239002541E-06,3.43057715102287E-06,4.19292762902795E-06,0.47,1.0383670921
P05020,3.5.2.3,160,576000,38827,3306.931551618,5.49141738893715E-06,0.47,1.07886392709964E-05,9.70977534389673E-06,1.1867503198096E-05,0.47,2.9207004234
P08312,6.1.1.20,160,576000,36832,3871.2426725656,6.42849995444311E-06,0.47,1.26296659222851E-05,1.13666993300566E-05,1.38926325145136E-05,0.47,3.4191031585
P07395,6.1.1.20,160,576000,87378,4744.4590181598,7.8785437033541E-06,0.47,1.54784748592418E-05,1.39306273733177E-05,1.7026322345166E-05,0.47,4.1903327139
P0A786,2.1.3.2,156,561600,34427,8816.8966586409,1.46411435713067E-05,0.47,2.87645256803668E-05,2.58880731123302E-05,0.000031641,0.47,7.5924540824
P07102,3.1.3.2,156,561600,47057,6.4818628227,1.07636380317636E-08,0.47,2.11466366046435E-08,0.000000019,2.32613002651079E-08,0.47,0.005581697
P0AE22,3.1.3.2,156,561600,26104,82.1274243672,1.36378984336038E-07,0.47,2.67935136220113E-07,2.41141622598102E-07,2.94728649842125E-07,0.47,0.0707220151
P29208,4.2.1.113,150,540000,35477,7.7478447934,1.28658996902061E-08,0.47,2.52768166801691E-08,2.27491350121522E-08,2.78044983481861E-08,0.47,0.0064152561
P21888,6.1.1.16,141.9,510840,52202,354.8674887216,5.89285102493545E-07,0.47,1.15773104615628E-06,0.000001042,1.27350415077191E-06,0.47,0.277965204
P61889,1.1.1.37,140,504000,32337,90772.8521750846,0.0001507354,0.47,0.0002961403,0.0002665262,0.0003257543,0.47,70.1497039448
P25526,1.2.1.79,136.3,490680,51720,1748.2451502971,2.90309722732836E-06,0.47,5.70353089848401E-06,5.13317780863561E-06,6.27388398833242E-06,0.47,1.3153460144
P24186,1.5.1.5,136,489600,31044,1311.9490901989,2.17859364031697E-06,0.47,4.2801446764577E-06,3.85213020881193E-06,4.70815914410348E-06,0.47,0.9849126518
P07913,1.1.1.103,135,486000,37239,328.1142573186,5.44859278177707E-07,0.47,1.07045044828626E-06,9.63405403457635E-07,1.17749549311489E-06,0.47,0.2445122914
P26616,1.1.1.38,130,468000,63197,442.0655516311,7.34084277036078E-07,0.47,1.44220879574868E-06,0.000001298,1.58642967532355E-06,0.47,0.3172282467
P0C037,2.4.2.4,130,468000,10234,1314.7451455001,2.18323670790445E-06,0.47,4.28926661670816E-06,3.86033995503734E-06,4.71819327837897E-06,0.47,0.943467085
P07650,2.4.2.4,130,468000,47207,144.4535525787,2.39876374258912E-07,0.47,4.71269890489022E-07,4.2414290144012E-07,5.18396879537925E-07,0.47,0.1036605251
P0A6L2,4.3.3.7,124,446400,31270,3639.2297903341,6.04322449407855E-06,0.47,1.18727396740246E-05,1.06854657066222E-05,0.00001306,0.47,2.4909957655
P00935,2.5.1.48,121,435600,41550,1002.0542172538,0.000001664,0.47,3.26913373052521E-06,2.94222035747269E-06,0.000003596,0.47,0.6692962869
P19319,1.7.5.1,120,432000,140227,#N/A,#N/A,0.47,#N/A,#N/A,#N/A,0.47,#N/A
P09152,1.7.5.1,120,432000,140489,2.3983114472,0.000000004,0.47,7.82432797875599E-09,0.000000007,8.60676077663159E-09,0.47,0.0015886516
P19318,1.7.5.1,120,432000,58558,#N/A,#N/A,0.47,#N/A,#N/A,#N/A,0.47,#N/A
P0AF32,1.7.5.1,120,432000,26018,#N/A,#N/A,0.47,#N/A,#N/A,#N/A,0.47,#N/A
P11349,1.7.5.1,120,432000,58066,0.005145908,8.54518096638311E-12,0.47,1.67881747866073E-11,1.51093573079466E-11,1.8466992265268E-11,0.47,3.40867100867275E-06
P11350,1.7.5.1,120,432000,25497,0.0201466859,3.34551410363339E-11,0.47,6.57271926057642E-11,5.91544733451877E-11,7.22999118663406E-11,0.47,1.33452491866744E-05
P77570,2.7.1.170,116.666667,420000.0012,39496,63.5156510429,1.05472685225711E-07,0.47,2.07215491602576E-07,1.86493942442318E-07,2.27937040762833E-07,0.47,0.0409043382
P0A6V8,2.7.1.2,116,417600,34723,1002.0545800608,0.000001664,0.47,3.26913491415811E-06,2.9422214227423E-06,0.000003596,0.47,0.6416396479
P0AC47,1.3.5.1,110,396000,27123,121.2193150073,2.01294113263492E-07,0.47,3.95469770655191E-07,3.55922793589672E-07,0.000000435,0.47,0.0736048337
P07014,1.3.5.1,110,396000,26770,5136.561316002,8.52966010628037E-06,0.47,1.67576819376825E-05,1.50819137439142E-05,1.84334501314507E-05,0.47,3.1189397622
P0AC41,1.3.5.1,110,396000,64422,4020.3272928008,6.6760665772182E-06,0.47,0.000013116,1.18044399204251E-05,1.44276487916307E-05,0.47,2.4411581755
P0AC81,4.4.1.5,106,381600,14920,1615.0569584511,2.68192786192476E-06,0.47,0.000005269,4.74211213306932E-06,5.79591482930695E-06,0.47,0.9450081059
