Entry,EC,kcat(s-1),kcat(h-1),Mw,#(cell)-1,conc_fmol(cell)-1,growth_rate1,conc_mmolgDW,0.9conc,1.1conc,growth_rate2,flux_ub_step2(mmol*(gDWh)-1)
P21179,1.11.1.6,151000,543600000,84163,616.0005578953,1.02291690118776E-06,1.27,2.00965992374805E-06,1.80869393137325E-06,2.21062591612286E-06,1.27,1387.4129408778
P0A6D5,1.1.1.282,113000,406800000,31228,#N/A,#N/A,1.27,#N/A,#N/A,#N/A,1.27,#N/A
P0AGD1,1.15.1.1,100000,360000000,17681,267.419266389,4.44070518746334E-07,1.27,8.7243716846038E-07,7.85193451614342E-07,9.59680885306418E-07,1.27,398.8782734201
P00448,1.15.1.1,100000,360000000,23097,33716.9765421723,5.59896654635873E-05,1.27,0.0001099993,9.89994084817851E-05,0.0001209993,1.27,50291.6995087468
P0AGD3,1.15.1.1,100000,360000000,21266,5751.8061084292,9.55132200004856E-06,1.27,1.87648762279932E-05,1.68883886051939E-05,2.06413638507926E-05,1.27,8579.3014114385
P0A858,5.3.1.1,68330,245988000,26972,9703.8470290633,0.000016114,1.27,3.16581409392259E-05,2.84923268453033E-05,0.000034824,1.27,9890.1539221651
P0A9C3,5.1.3.3,16500,59400000,38190,2129.5191374734,3.536232377073E-06,1.27,6.94741134984872E-06,6.25267021486385E-06,7.6421524848336E-06,1.27,524.0988174099
P13029,1.11.1.21,16333.3333333333,58799999.9999999,80024,1899.9854914241,3.15507388147474E-06,1.27,6.19857344101128E-06,5.57871609691016E-06,6.81843078511241E-06,1.27,462.884670281
P45568,1.1.1.267,9833.3333333333,35400000,43388,NA,#VALUE!,1.27,#VALUE!,#VALUE!,#VALUE!,1.27,#VALUE!
P0AC53,1.1.1.49,8000,28800000,55704,1153.8627848655,1.91607901837519E-06,1.27,3.76439885731865E-06,0.000003388,4.14083874305051E-06,1.27,137.6866526053
P12998,2.3.1.47,7000,25200000,41594,137.7067980004,2.28672862836958E-07,1.27,4.49259062548051E-07,4.04333156293246E-07,4.94184968802856E-07,1.27,14.3780870378
P0A6F3,2.7.1.30,4900,17640000,56231,24980.4335901441,0.000041482,1.27,0.000081497,7.33472690218697E-05,8.96466621378407E-05,1.27,1825.7602204924
P08956,3.1.21.3,4000,14400000,134095,16.4976444347,2.73956234386166E-08,1.27,5.38224429049442E-08,4.84401986144497E-08,5.92046871954386E-08,1.27,0.9843048358
P15723,3.1.5.1,4000,14400000,59383,2.1432175893,3.55897972316436E-09,1.27,0.000000007,6.29289145549691E-09,7.69131177894067E-09,1.27,0.1278715544
P56262,3.1.1.45,2650,9540000,29425,756.5019901073,1.25623047178234E-06,1.27,0.000002468,2.22123266130472E-06,2.71483991937244E-06,1.27,29.9022340865
P0ABK9,1.7.2.2,2380,8568000,53703,0.0153305032,2.54574945038904E-11,1.27,5.00147239762091E-11,4.50132515785881E-11,5.501619637383E-11,1.27,0.0005442282
P0ABK5,2.5.1.47,2030,7308000,34490,70875.5398141791,0.0001176944,1.27,0.0002312266,0.000208104,0.0002543493,1.27,2146.0513320894
P16703,2.5.1.47,2030,7308000,32664,1442.445036606,2.39529232249414E-06,1.27,4.70587882611815E-06,4.23529094350634E-06,5.17646670872997E-06,1.27,43.6760143258
P60546,2.7.4.8,1500,5400000,23593,795.4301943914,1.32087378676757E-06,1.27,0.000002595,2.33553321825307E-06,2.85454060008709E-06,1.27,17.7967631231
P52643,1.1.1.28,1340,4824000,36535,420.6440725053,6.98512242619264E-07,1.27,1.3723226770516E-06,1.23509040934644E-06,1.50955494475676E-06,1.27,8.4075074345
P00393,1.6.99.3,1170,4212000,47359,772.7874605973,1.28327376386131E-06,1.27,2.52116653017939E-06,0.000002269,2.77328318319733E-06,1.27,13.4863248499
P0A9D4,2.3.1.30,1080,3888000,29317,619.8136121129,1.02924877468096E-06,1.27,2.02209975379364E-06,1.81988977841428E-06,2.224309729173E-06,1.27,9.9846432803
P52061,3.6.1.66,1009,3632400,21039,851.0864883895,1.41329539752493E-06,1.27,2.77661178295664E-06,0.000002499,3.0542729612523E-06,1.27,12.8089210933
Q46939,2.3.1.9,1000,3600000,41019,105.3171202197,1.7488728033821E-07,1.27,3.43589941725363E-07,3.09230947552827E-07,3.779489358979E-07,1.27,1.5708932136
P76461,2.3.1.9,1000,3600000,40352,#N/A,#N/A,1.27,#N/A,#N/A,#N/A,1.27,#N/A
P0A7A9,3.6.1.1,916,3297600,19704,12756.4938526679,2.11831515321619E-05,1.27,4.16171935798859E-05,3.74554742218973E-05,4.57789129378745E-05,1.27,174.2908090873
P0ACC7,2.3.1.157,853,3070800,49190,685.4055852863,1.1381693545107E-06,1.27,2.23608910512908E-06,2.01248019461618E-06,2.45969801564199E-06,1.27,8.7205596785
P37197,1.11.1.5,830,2988000,51571,#N/A,#N/A,1.27,#N/A,#N/A,#N/A,1.27,#N/A
P25718,3.2.1.1,706,2541600,75713,NA,#VALUE!,1.27,#VALUE!,#VALUE!,#VALUE!,1.27,#VALUE!
P26612,3.2.1.1,706,2541600,56639,109.7241528342,1.82205501219258E-07,1.27,0.000000358,3.22170827303206E-07,3.93764344481697E-07,1.27,1.1554592287
P0AC33,4.2.1.2,650,2340000,60299,5154.1489305937,8.55886571005259E-06,1.27,1.68150603340915E-05,1.51335543006824E-05,1.84965663675007E-05,1.27,49.9709963009
P14407,4.2.1.2,650,2340000,60105,NA,#VALUE!,1.27,#VALUE!,#VALUE!,#VALUE!,1.27,#VALUE!
P0ACX5,4.2.1.2,650,2340000,7907,61.0557382356,1.01387808428369E-07,1.27,1.9919019337597E-07,1.79271174038373E-07,2.19109212713567E-07,1.27,0.5919534167
P11663,4.2.1.2,650,2340000,19272,#N/A,#N/A,1.27,#N/A,#N/A,#N/A,1.27,#N/A
P05042,4.2.1.2,650,2340000,50489,937.9251497991,1.55749775788617E-06,1.27,3.05991700959954E-06,2.75392530863959E-06,3.3659087105595E-06,1.27,9.0934613691
P0A731,4.2.3.3,600,2160000,16919,2253.8675762268,3.74272264401664E-06,1.27,7.35308967390302E-06,6.61778070651272E-06,8.08839864129333E-06,1.27,20.1709955935
P0A799,2.7.2.3,575,2070000,41118,61210.1522906574,0.0001016442,1.27,0.000199694,0.0001797246,0.0002196634,1.27,524.9754481013
P0A7E9,2.7.4.22,545.2,1962720,25970,1020.5104325162,1.69463705167079E-06,1.27,3.32934587754576E-06,2.99641128979118E-06,3.66228046530033E-06,1.27,8.2989086508
P0AED7,3.5.1.18,470,1692000,41269,95.063463083,1.57860284096637E-07,1.27,3.10138082704592E-07,2.79124274434133E-07,3.41151890975051E-07,1.27,0.6664371176
P77608,4.2.1.80,450,1620000,28890,NA,#VALUE!,1.27,#VALUE!,#VALUE!,#VALUE!,1.27,#VALUE!
P0AEK2,1.1.1.100,361,1299600,25560,7632.2158503052,1.26738888248177E-05,1.27,2.489958511752E-05,2.2409626605768E-05,2.7389543629272E-05,1.27,41.0965660398
