Entry,EC,kcat(s-1),kcat(h-1),Mw,#(cell)-1,conc_fmol(cell)-1,growth_rate1,conc_mmolgDW,0.9conc,1.1conc,growth_rate2,flux_ub_step2(mmol*(gDWh)-1)
P21179,1.11.1.6,151000,543600000,84163,2060.7671844683,3.42206440463022E-06,0.3,6.72311277923423E-06,6.05080150131081E-06,7.39542405715766E-06,0.3,1096.4052320375
P0A6D5,1.1.1.282,113000,406800000,31228,#N/A,#N/A,0.3,#N/A,#N/A,#N/A,0.3,#N/A
P0AGD1,1.15.1.1,100000,360000000,17681,268.1096156707,4.45216897493718E-07,0.3,8.74689386038739E-07,7.87220447434865E-07,9.62158324642613E-07,0.3,94.4664536922
P00448,1.15.1.1,100000,360000000,23097,24614.4010026797,4.08741298616402E-05,0.3,8.03028091584286E-05,7.22725282425857E-05,8.83330900742715E-05,0.3,8672.7033891103
P0AGD3,1.15.1.1,100000,360000000,21266,4287.3099118918,7.11941200911956E-06,0.3,1.39870569923764E-05,1.25883512931387E-05,1.5385762691614E-05,0.3,1510.6021551767
P0A858,5.3.1.1,68330,245988000,26972,7717.2171316196,0.000012815,0.3,2.51768960165693E-05,2.26592064149124E-05,2.76945856182263E-05,0.3,1857.9642891972
P0A9C3,5.1.3.3,16500,59400000,38190,1130.0989801669,1.87661736992179E-06,0.3,3.68687106075007E-06,3.31818395467507E-06,4.05555816682508E-06,0.3,65.7000423026
P13029,1.11.1.21,16333.3333333333,58799999.9999999,80024,2683.4759640396,4.45612083035475E-06,0.3,8.75465781995039E-06,7.87919203795535E-06,9.63012360194543E-06,0.3,154.4321639439
P45568,1.1.1.267,9833.3333333333,35400000,43388,32.61787348,5.41645192294919E-08,0.3,1.06413593771104E-07,9.57722343939935E-08,1.17054953148214E-07,0.3,1.1301123658
P0AC53,1.1.1.49,8000,28800000,55704,624.930044156,1.03774500856188E-06,0.3,2.0387917653475E-06,1.83491258881275E-06,2.24267094188225E-06,0.3,17.6151608526
P12998,2.3.1.47,7000,25200000,41594,98.0428918115,1.62807857541591E-07,0.3,3.19858266289962E-07,2.87872439660966E-07,3.51844092918958E-07,0.3,2.4181284932
P0A6F3,2.7.1.30,4900,17640000,56231,527.0893848536,8.75272973851946E-07,0.3,1.71959326886433E-06,1.5476339419779E-06,1.89155259575077E-06,0.3,9.1000875788
