Entry,EC,kcat(s-1),kcat(h-1),Mw,#(cell)-1,conc_fmol(cell)-1,growth_rate1,conc_mmolgDW,0.9conc,1.1conc,growth_rate2,flux_ub_step2(mmol*(gDWh)-1)
P21179,1.11.1.6,151000,543600000,84163,1863.2652501865,3.0940970610869E-06,0.47,6.07877615144774E-06,5.47089853630297E-06,6.68665376659251E-06,0.47,1553.0786764857
P0A6D5,1.1.1.282,113000,406800000,31228,#N/A,#N/A,0.47,#N/A,#N/A,#N/A,0.47,#N/A
P0AGD1,1.15.1.1,100000,360000000,17681,297.5980171223,4.94184684693298E-07,0.47,9.7089329016365E-07,8.73803961147285E-07,0.000001068,0.47,164.2751446957
P00448,1.15.1.1,100000,360000000,23097,25317.0570678144,4.20409449814254E-05,0.47,8.25951767807965E-05,7.43356591027169E-05,9.08546944588762E-05,0.47,13975.1039113108
P0AGD3,1.15.1.1,100000,360000000,21266,4589.7003533381,7.62155488764206E-06,0.47,1.49735852409471E-05,1.34762267168524E-05,1.64709437650418E-05,0.47,2533.5306227683
P0A858,5.3.1.1,68330,245988000,26972,7456.2721064195,1.23817205354027E-05,0.47,2.43255806196517E-05,0.000021893,2.67581386816169E-05,0.47,2812.3864349694
P0A9C3,5.1.3.3,16500,59400000,38190,1458.7239211084,2.42232467802786E-06,0.47,0.000004759,4.28308882166027E-06,5.23488633758478E-06,0.47,132.8614152479
P13029,1.11.1.21,16333.3333333333,58799999.9999999,80024,3179.5936348525,0.00000528,0.47,1.0373207978253E-05,9.33588718042769E-06,1.14105287760783E-05,0.47,286.673975687
P45568,1.1.1.267,9833.3333333333,35400000,43388,58.20017937,9.66459305380272E-08,0.47,1.89874126793767E-07,1.7088671411439E-07,2.08861539473143E-07,0.47,3.1591257216
P0AC53,1.1.1.49,8000,28800000,55704,1171.3762565097,1.94516150200882E-06,0.47,3.82153536740436E-06,3.43938183066392E-06,4.20368890414479E-06,0.47,51.7283027332
P12998,2.3.1.47,7000,25200000,41594,83.9320372048,1.39375684498215E-07,0.47,2.73822562864862E-07,2.46440306578375E-07,3.01204819151348E-07,0.47,3.2431544346
P0A6F3,2.7.1.30,4900,17640000,56231,27857.6028401794,4.62597190969435E-05,0.47,9.08835345715983E-05,8.17951811144385E-05,9.99718880287582E-05,0.47,753.4972084262
P08956,3.1.21.3,4000,14400000,134095,6.5062719354,1.08041712643148E-08,0.47,2.12262696744888E-08,1.91036427070399E-08,2.33488966419376E-08,0.47,0.1436593932
P15723,3.1.5.1,4000,14400000,59383,3.1413990227,5.21653773276775E-09,0.47,1.02486006537677E-08,9.22374058839092E-09,1.12734607191445E-08,0.47,0.0693625292
P56262,3.1.1.45,2650,9540000,29425,1115.8824449563,0.000001853,0.47,3.6404905815425E-06,3.27644152338825E-06,4.00453963969675E-06,0.47,16.3232316695
