Entry,EC,kcat(s-1),kcat(h-1),Mw,#(cell)-1,conc_fmol(cell)-1,growth_rate1,conc_mmolgDW,0.9conc,1.1conc,growth_rate2,flux_ub_step2(mmol*(gDWh)-1)
P21179,1.11.1.6,151000,543600000,84163,132.2073077525,2.19540530973934E-07,0.67,4.31317349654094E-07,3.88185614688685E-07,4.74449084619504E-07,0.67,157.0909545522
P0A6D5,1.1.1.282,113000,406800000,31228,#N/A,#N/A,0.67,#N/A,#N/A,#N/A,0.67,#N/A
P0AGD1,1.15.1.1,100000,360000000,17681,10.4846993965,1.74106599079037E-08,0.67,3.4205618679575E-08,3.07850568116175E-08,3.76261805475325E-08,0.67,8.2503952255
P00448,1.15.1.1,100000,360000000,23097,23525.8470956797,3.90665013212881E-05,0.67,7.67514760732576E-05,6.90763284659318E-05,8.44266236805834E-05,0.67,18512.4560288697
P0AGD3,1.15.1.1,100000,360000000,21266,5516.0506359869,9.15983167716194E-06,0.67,1.7995740033717E-05,1.61961660303453E-05,1.97953140370887E-05,0.67,4340.5724961325
P0A858,5.3.1.1,68330,245988000,26972,5152.0379372532,8.55536024120425E-06,0.67,1.68081733618944E-05,1.5127356025705E-05,0.000018489,0.67,2770.1879957936
P0A9C3,5.1.3.3,16500,59400000,38190,853.8150868561,1.41782644778503E-06,0.67,2.78551364987235E-06,0.000002507,3.06406501485959E-06,0.67,110.8578722376
P13029,1.11.1.21,16333.3333333333,58799999.9999999,80024,1467.7139904245,2.43725338828373E-06,0.67,4.7883170693197E-06,4.30948536238773E-06,5.26714877625167E-06,0.67,188.6405392629
P45568,1.1.1.267,9833.3333333333,35400000,43388,#N/A,#N/A,0.67,#N/A,#N/A,#N/A,0.67,#N/A
P0AC53,1.1.1.49,8000,28800000,55704,1352.281754131,2.24556916992856E-06,0.67,4.41172724936849E-06,3.97055452443164E-06,4.85289997430534E-06,0.67,85.1286890038
P12998,2.3.1.47,7000,25200000,41594,32.1249040295,5.33459050638738E-08,0.67,1.04805314467336E-07,9.4324783020602E-08,1.15285845914069E-07,0.67,1.7695329295
P0A6F3,2.7.1.30,4900,17640000,56231,5103.8441567577,8.47533071530676E-06,0.67,1.66509444308581E-05,1.49858499877723E-05,0.000018316,0.67,196.7941820394
P08956,3.1.21.3,4000,14400000,134095,11.6921468041,1.94157203655669E-08,0.67,3.81448337241E-08,3.433035035169E-08,0.000000042,0.67,0.3680213558
P15723,3.1.5.1,4000,14400000,59383,#N/A,#N/A,0.67,#N/A,#N/A,#N/A,0.67,#N/A
P56262,3.1.1.45,2650,9540000,29425,150.9258995557,2.5062421048769E-07,0.67,4.92385482294087E-07,4.43146934064678E-07,5.41624030523496E-07,0.67,3.1472295257
P0ABK9,1.7.2.2,2380,8568000,53703,#N/A,#N/A,0.67,#N/A,#N/A,#N/A,0.67,#N/A
