Entry,EC,kcat(s-1),kcat(h-1),Mw,#(cell)-1,conc_fmol(cell)-1,growth_rate1,conc_mmolgDW,0.9conc,1.1conc,growth_rate2,flux_ub_step2(mmol*(gDWh)-1)
P21179,1.11.1.6,151000,543600000,84163,1821.6839190899,0.000003025,0.46,5.94311988683893E-06,5.34880789815503E-06,6.53743187552282E-06,0.46,1486.1127864234
P0A6D5,1.1.1.282,113000,406800000,31228,#N/A,#N/A,0.46,#N/A,#N/A,#N/A,0.46,#N/A
P0AGD1,1.15.1.1,100000,360000000,17681,530.4741926423,8.80893710797629E-07,0.46,1.73063597406214E-06,1.55757237665593E-06,1.90369957146835E-06,0.46,286.5933173047
P00448,1.15.1.1,100000,360000000,23097,24694.8793825952,4.10077704792348E-05,0.46,8.05653643992825E-05,7.25088279593543E-05,8.86219008392108E-05,0.46,13341.6243445212
P0AGD3,1.15.1.1,100000,360000000,21266,7066.662792741,1.17347439268366E-05,0.46,2.30545067324884E-05,2.07490560592395E-05,0.00002536,0.46,3817.8263149001
P0A858,5.3.1.1,68330,245988000,26972,7387.2020501524,0.000012267,0.46,2.41002442587801E-05,2.16902198329021E-05,2.65102686846582E-05,0.46,2727.0506069753
P0A9C3,5.1.3.3,16500,59400000,38190,1424.4902229836,2.36547695613344E-06,0.46,4.64730246784567E-06,4.1825722210611E-06,0.000005112,0.46,126.9828926314
P13029,1.11.1.21,16333.3333333333,58799999.9999999,80024,5526.128321163,9.17656645825812E-06,0.46,1.80286177961849E-05,1.62257560165664E-05,1.98314795758034E-05,0.46,487.6380541512
P45568,1.1.1.267,9833.3333333333,35400000,43388,49.27626312,8.1827072600465E-08,0.46,1.60760456975373E-07,1.44684411277836E-07,1.76836502672911E-07,0.46,2.6178232814
P0AC53,1.1.1.49,8000,28800000,55704,1117.4839709216,1.85566916459915E-06,0.46,3.64571545107889E-06,3.281143905971E-06,4.01028699618678E-06,0.46,48.2984382959
P12998,2.3.1.47,7000,25200000,41594,81.3576628403,1.35100735370728E-07,0.46,2.65423841592786E-07,2.38881457433507E-07,0.000000292,0.46,3.0767931717
P0A6F3,2.7.1.30,4900,17640000,56231,425.96595259,7.07349638973718E-07,0.46,1.38968494886782E-06,1.25071645398103E-06,1.5286534437546E-06,0.46,11.2764595491
P08956,3.1.21.3,4000,14400000,134095,6.1543282719,1.02197414013629E-08,0.46,2.00780774093574E-08,1.80702696684216E-08,2.20858851502931E-08,0.46,0.1329971848
P15723,3.1.5.1,4000,14400000,59383,3.4468930866,5.72383441820606E-09,0.46,1.12452542597369E-08,1.01207288337632E-08,1.23697796857105E-08,0.46,0.0744885642
P56262,3.1.1.45,2650,9540000,29425,1063.1797394393,1.76549275894932E-06,0.46,3.46855158929139E-06,3.12169643036225E-06,3.81540674822053E-06,0.46,15.2213917944
P0ABK9,1.7.2.2,2380,8568000,53703,0.0245852996,4.08258047112958E-11,0.46,8.02078678021528E-11,7.21870810219375E-11,8.82286545823681E-11,0.46,0.0003161217
P0ABK5,2.5.1.47,2030,7308000,34490,65029.2896376359,0.0001079862,0.46,0.0002121536,0.0001909383,0.000233369,0.46,713.1926302609
P16703,2.5.1.47,2030,7308000,32664,1128.2179108363,1.87349370779856E-06,0.46,3.68073419999716E-06,3.31266077999745E-06,4.04880761999688E-06,0.46,12.3734505454
