Entry	Mass
P25516	97,677
P0A959	45,517
P32719	26,109
P77555	37,967
P0AAF6	27,022
P41407	21,658
P0ADP5	33,727
Q46829	55,361
P0ABE2	11,994
P77330	10,447
Q46897	22,293
P45956	10,518
P0ABE5	20,286
P31551	28,190
P0ACU0	25,017
P75919	53,666
P0ABQ0	43,438
P37623	21,768
P0ABD5	35,242
P26646	34,724
P28629	84,425
P24240	53,935
P0ABM1	27,885
Q46896	33,194
P0AE60	9,377
P31466	46,866
P0A955	22,284
P0AE24	51,684
P07639	38,881
P00888	38,804
P12995	47,336
P26218	60,657
P37653	99,785
P61517	25,097
P17410	32,968
P0AFT5	27,400
P76364	13,684
P31469	22,485
P37794	27,774
P39451	35,380
P0ABB0	55,222
P0ABD8	16,687
P0ABC9	75,842
P0DSH2	951
P06129	68,407
C1P605	3,408
P0A940	90,553
P0AE52	17,634
P38036	100,545
P39163	25,512
P46854	18,794
P0AE06	42,197
P46482	34,775
P0AD70	41,849
P25718	75,713
P30844	41,029
P77425	45,694
P0AE26	34,211
P05050	24,076
P0ABA6	31,577
P0A6E6	15,068
P17444	61,878
P37659	62,032
P69490	17,698
P0AGE6	20,376
P30871	48,389
P0A9Q5	33,322
P24177	113,047
P12999	28,276
P27550	72,094
P42912	27,724
P08204	61,089
P06610	20,470
P0A937	12,302
P0AB33	9,664
P52697	36,308
P32718	33,821
P77731	18,170
P76215	35,800
P0ABB8	99,466
P0DTT0	67,355
P37650	127,724
P71237	45,260
P77300	27,838
P0ACY1	20,059
P76023	9,607
Q47536	44,708
P36661	48,355
P76272	94,970
P76463	61,476
P33345	30,613
P0DSG5	3,305
Q46858	34,983
P64574	10,945
P69506	24,883
P0AE45	49,763
P37617	76,840
Q46868	11,276
P23841	33,627
P76210	30,160
P0AD30	28,643
Q47710	11,811
P0DSH6	2,827
P45468	37,257
Q46808	57,682
Q46942	30,850
P77377	53,693
P75697	24,932
P75967	25,147
P75917	11,194
P76278	32,526
Q46809	28,103
O32528	10,162
P76612	29,787
P77579	43,966
P24555	79,491
P69831	48,365
P0A7E9	25,970
P39838	100,372
P08394	133,959
P15032	96,368
P75811	20,307
P0C0U4	32,436
P60438	22,244
P37351	16,073
P0AFW4	14,927
P0A9J0	55,364
P75895	28,898
P16095	48,907
P39366	40,615
P33018	31,259
Q46755	14,639
P0AFF6	54,871
P06959	66,096
P33136	57,912
P77467	28,405
P76083	51,733
P77165	24,343
P16690	20,730
P0ADI0	21,908
P07003	62,011
P42911	29,001
P08722	66,483
P37188	10,222
P69828	16,907
P69826	48,971
P0A7J0	23,353
P16919	159,725
P25888	49,989
P33022	33,748
P33643	37,122
P00448	23,097
P0A9K9	20,853
P25396	35,932
P0A8L1	48,414
P69811	39,648
P69824	16,046
P0AA53	33,743
P09980	77,024
Q47274	14,176
P37745	21,270
P0A7Y8	13,789
P0A7X3	14,856
P39362	23,214
P0A828	18,510
P80645	41,736
P77087	7,088
P23003	41,967
P0AFS5	37,543
P42905	13,721
P37051	31,935
P69795	11,427
P69791	12,748
P0A9M8	77,172
P0A7E3	23,567
P64530	10,134
P33228	29,721
P25741	30,872
P0A7I0	40,517
P37744	32,694
P0A7R1	15,769
P10442	21,526
P0AG67	61,158
P0A7T3	9,191
P0AFY2	27,287
P0AFY6	46,459
P21170	73,898
P0AGE0	18,975
P07395	87,378
P30235	33,573
P07648	128,848
P0A7H0	40,514
P0A9J6	32,291
P32156	12,265
P32169	30,145
P76469	28,916
P0A7L8	9,124
P0A877	28,724
P0A862	17,835
P76086	35,295
P02338	3,447
P0DSG0	1,604
P0A9U6	20,092
P76037	50,853
P05458	107,708
P31452	39,692
P0A7H6	21,963
P27127	40,826
P32171	54,069
P0ACI0	33,145
P0AF90	15,603
P0A7R9	13,845
P0AFX4	18,243
P08395	67,219
P69786	50,677
P0A786	34,427
P64554	25,030
P0C079	9,071
P04993	66,902
P09378	32,373
P31665	34,607
P0ABG7	40,476
P39406	37,625
P33012	18,081
P07026	28,117
P30744	48,753
P77249	25,458
P0C093	22,836
P0AFZ3	18,262
P11875	64,683
P27302	72,212
P0AFN2	13,517
P39288	43,073
P0A7I7	21,836
P0AFW0	18,340
P0A7L3	13,497
P0AG71	54,764
P0AFW8	9,480
P27434	36,192
P32140	47,433
P77522	54,745
P0ACG1	15,348
P0AF32	26,018
P33594	29,722
