"Entry","Mw","conc_mmolgDW","0.9conc"
"P24183",112963,6.52486397289833E-09,5.8723775756085E-09
"P25907",86716,"#VALUE!","#VALUE!"
"P24181",111454,1.63121599322458E-08,1.46809439390212E-08
"P07658",79374,"#VALUE!","#VALUE!"
"P77747",41220,1.3E-08,1.1744755151217E-08
"P77374",89780,"#VALUE!","#VALUE!"
"P76585",123832,"#VALUE!","#VALUE!"
"P76072",113780,"#VALUE!","#VALUE!"
"P75906",77413,"#VALUE!","#VALUE!"
"P38036",100545,"#VALUE!","#VALUE!"
"P37443",84474,"#VALUE!","#VALUE!"
"P16919",159725,6.52486397289833E-09,5.8723775756085E-09
"P0AAA5",8727,4.89364797967374E-08,4.4E-08
"Q06067",67790,"#VALUE!","#VALUE!"
"P77397",62186,"#VALUE!","#VALUE!"
"P76481",63634,"#VALUE!","#VALUE!"
"P76361",57237,"#VALUE!","#VALUE!"
"P76092",65456,"#VALUE!","#VALUE!"
"P76056",47539,3.58867518509408E-08,3.22980766658467E-08
"P76017",99685,"#VALUE!","#VALUE!"
"P75995",56906,"#VALUE!","#VALUE!"
"P67444",49108,"#VALUE!","#VALUE!"
"P46133",54886,"#VALUE!","#VALUE!"
"P45508",131153,9.78729595934749E-09,8.80856636341274E-09
"P45420",86289,"#VALUE!","#VALUE!"
"P38054",114707,9.78729595934749E-09,8.80856636341274E-09
"P37653",99785,3.26243198644916E-08,2.93618878780424E-08
"P33346",138068,"#VALUE!","#VALUE!"
"P33225",94456,"#VALUE!","#VALUE!"
"P17334",48332,4.56740478102883E-08,4.11066430292595E-08
"P15030",34893,6.52486397289833E-08,5.8723775756085E-08
"P03960",72199,"#VALUE!","#VALUE!"
"Q6BEX0",55260,"#VALUE!","#VALUE!"
"Q46907",30308,"#VALUE!","#VALUE!"
"Q46877",54234,"#VALUE!","#VALUE!"
"P77589",41551,"#VALUE!","#VALUE!"
"P77439",92130,1.9574591918695E-08,1.76171327268255E-08
"P77337",45923,"#VALUE!","#VALUE!"
"P77329",63383,"#VALUE!","#VALUE!"
"P77269",35058,"#VALUE!","#VALUE!"
"P76421",31604,"#VALUE!","#VALUE!"
"P76269",48152,4.24116158238391E-08,3.81704542414552E-08
"P76261",59711,"#VALUE!","#VALUE!"
"P76224",56243,"#VALUE!","#VALUE!"
"P76150",42841,"#VALUE!","#VALUE!"
"P76093",49563,"#VALUE!","#VALUE!"
"P75898",42219,"#VALUE!","#VALUE!"
"P75882",78687,3.914918383739E-08,3.5234265453651E-08
"P52143",157500,6.52486397289833E-09,5.8723775756085E-09
"P39453",101024,"#VALUE!","#VALUE!"
"P39328",35659,"#VALUE!","#VALUE!"
"P39282",54725,3.03406174739772E-07,2.73065557265795E-07
"P38135",62759,"#VALUE!","#VALUE!"
"P37197",51571,2.93618878780425E-08,2.64256990902382E-08
"P37127",71844,4.24116158238391E-08,3.81704542414552E-08
"P32135",46335,7.17735037018816E-08,6.45961533316934E-08
"P31826",64985,"#VALUE!","#VALUE!"
"P24174",53016,"#VALUE!","#VALUE!"
"P14377",51032,2.60994558915933E-08,2.3489510302434E-08
"P0AGC0",50607,"#VALUE!","#VALUE!"
"P0ABK9",53703,"#VALUE!","#VALUE!"
"P0AA78",46892,3.58867518509408E-08,3.22980766658467E-08
"P02942",59443,5.54613437696358E-08,4.99152093926722E-08
"P77622",34621,"#VALUE!","#VALUE!"
"P77493",34121,"#VALUE!","#VALUE!"
"P77211",50270,"#VALUE!","#VALUE!"
"P77187",55581,"#VALUE!","#VALUE!"
"P76347",248569,9.78729595934749E-09,8.80856636341274E-09
"P75892",45557,"#VALUE!","#VALUE!"
"P71243",45362,"#VALUE!","#VALUE!"
"P69367",44363,"#VALUE!","#VALUE!"
"P52614",39312,"#VALUE!","#VALUE!"
"P46883",84379,"#VALUE!","#VALUE!"
"P46482",34775,2.02270783159848E-07,1.82E-07
"P45848",71289,1.63121599322458E-08,1.46809439390212E-08
"P45758",70698,"#VALUE!","#VALUE!"
"P45423",43293,"#VALUE!","#VALUE!"
"P39384",42743,"#VALUE!","#VALUE!"
"P37180",43602,1.50071871376662E-07,1.35064684238996E-07
"P36661",48355,"#VALUE!","#VALUE!"
"P32170",47199,"#VALUE!","#VALUE!"
"P32153",38733,"#VALUE!","#VALUE!"
"P31447",57295,"#VALUE!","#VALUE!"
"P30979",35960,6.85110717154324E-08,6.16599645438892E-08
"P30866",22991,"#VALUE!","#VALUE!"
"P25549",60718,"#VALUE!","#VALUE!"
"P19769",33477,8.48232316476783E-08,7.63409084829105E-08
"P16682",37371,"#VALUE!","#VALUE!"
"P0C8K0",47192,3.914918383739E-08,3.5234265453651E-08
"P0AC96",46416,1.01135391579924E-07,9.1E-08
"P0AC94",47138,1.9574591918695E-07,1.76171327268255E-07
"P0AAP1",41537,"#VALUE!","#VALUE!"
"P0A996",44108,"#VALUE!","#VALUE!"
"P08204",61089,"#VALUE!","#VALUE!"
"P05804",68447,2.93618878780425E-08,2.64256990902382E-08
"P02921",52636,"#VALUE!","#VALUE!"
"Q57083",33639,"#VALUE!","#VALUE!"
"Q46901",55901,"#VALUE!","#VALUE!"
"Q46888",30751,5.87237757560849E-08,5.28513981804764E-08
"P77671",49602,"#VALUE!","#VALUE!"
"P77425",45694,"#VALUE!","#VALUE!"
"P77328",47239,"#VALUE!","#VALUE!"
"P77272",49802,9.46105276070257E-08,8.51494748463231E-08
"P77239",44305,"#VALUE!","#VALUE!"
"P77156",34360,"#VALUE!","#VALUE!"
"P76518",41671,"#VALUE!","#VALUE!"
"P76186",75267,1.07660255552822E-07,9.68942299975398E-08
"P52131",32094,6.52486397289833E-08,5.8723775756085E-08
"P52124",54027,"#VALUE!","#VALUE!"
"P50466",55066,3.26243198644916E-08,2.93618878780424E-08
"P43319",38535,"#VALUE!","#VALUE!"
"P38035",60299,"#VALUE!","#VALUE!"
"P37387",35734,"#VALUE!","#VALUE!"
"P33934",31874,6.52486397289833E-08,5.8723775756085E-08
"P33013",43346,9.46105276070257E-08,8.51494748463231E-08
"P31574",33513,6.52486397289833E-08,5.8723775756085E-08
"P24216",48456,"#VALUE!","#VALUE!"
"P23877",34910,4.56740478102883E-08,4.11066430292595E-08
