Entry,EC,kcat(s-1),kcat(h-1),Mw,#(cell)-1,conc_fmol(cell)-1,growth_rate1,conc_mmolgDW,0.9conc,1.1conc,growth_rate2,flux_ub_step2(mmol*(gDWh)-1)
P21179,1.11.1.6,151000,543600000,84163,883.689229933,1.46743478899542E-06,0.55,0.000002883,2.59467840883277E-06,3.17127361079561E-06,0.55,861.9521674142
P0A6D5,1.1.1.282,113000,406800000,31228,#N/A,#N/A,0.55,#N/A,#N/A,#N/A,0.55,#N/A
P0AGD1,1.15.1.1,100000,360000000,17681,241.1887258392,4.00512663299964E-07,0.55,7.86861813948848E-07,7.08175632553963E-07,8.65547995343733E-07,0.55,155.7986391619
P00448,1.15.1.1,100000,360000000,23097,26720.4465613566,4.43713825329734E-05,0.55,8.71736395539753E-05,7.84562755985778E-05,0.000095891,0.55,17260.3806316871
P0AGD3,1.15.1.1,100000,360000000,21266,3224.826370479,5.35507534121383E-06,0.55,1.05207767017954E-05,9.46869903161582E-06,1.15728543719749E-05,0.55,2083.1137869555
P0A858,5.3.1.1,68330,245988000,26972,9808.0873710631,1.62870929443093E-05,0.55,3.19982179652442E-05,2.87983961687198E-05,0.000035198,0.55,4329.147702459
P0A9C3,5.1.3.3,16500,59400000,38190,1354.7468051344,2.2496625791006E-06,0.55,4.41976931061021E-06,3.97779237954919E-06,4.86174624167123E-06,0.55,144.3938633776
P13029,1.11.1.21,16333.3333333333,58799999.9999999,80024,2182.4932400716,3.62420000011893E-06,0.55,7.12023575661873E-06,6.40821218095685E-06,7.8322593322806E-06,0.55,230.2684243691
P45568,1.1.1.267,9833.3333333333,35400000,43388,NA,#VALUE!,0.55,#VALUE!,#VALUE!,#VALUE!,0.55,#VALUE!
P0AC53,1.1.1.49,8000,28800000,55704,1773.0676037717,2.94431684452288E-06,0.55,5.7845124646815E-06,5.20606121821335E-06,0.000006363,0.55,91.6266774406
P12998,2.3.1.47,7000,25200000,41594,128.5471641429,2.13462577454135E-07,0.55,4.19376380067063E-07,3.77438742060356E-07,4.61314018073769E-07,0.55,5.8125566277
P0A6F3,2.7.1.30,4900,17640000,56231,408.7228517438,6.78716127106898E-07,0.55,1.33343050512161E-06,1.20008745460945E-06,1.46677355563377E-06,0.55,12.9369427607
P08956,3.1.21.3,4000,14400000,134095,5.5642284564,9.23983470009952E-09,0.55,1.81529168960698E-08,1.63376252064628E-08,0.00000002,0.55,0.1437711018
P15723,3.1.5.1,4000,14400000,59383,1.9714361123,3.27372320201764E-09,0.55,6.43167623186176E-09,5.78850860867558E-09,7.07484385504794E-09,0.55,0.0509388758
P56262,3.1.1.45,2650,9540000,29425,700.1505842232,1.1626545736021E-06,0.55,2.28419366130079E-06,2.05577429517072E-06,2.51261302743087E-06,0.55,11.9851641408
P0ABK9,1.7.2.2,2380,8568000,53703,0.3311550387,5.49908732402156E-10,0.55,1.08037079057398E-09,0.000000001,1.18840786963138E-09,0.55,0.0050911393
P0ABK5,2.5.1.47,2030,7308000,34490,68894.6829768752,0.000114405,0.55,0.0002247642,0.0002022878,0.0002472406,0.55,903.4172955785
P16703,2.5.1.47,2030,7308000,32664,1372.1320314158,2.27853210132152E-06,0.55,4.47648742892244E-06,4.0288386860302E-06,4.92413617181468E-06,0.55,17.9927935718
P60546,2.7.4.8,1500,5400000,23593,431.8136524593,7.17060200032023E-07,0.55,1.40876267196861E-06,1.26788640477175E-06,1.54963893916547E-06,0.55,4.1840251357
P52643,1.1.1.28,1340,4824000,36535,348.4125419346,5.78566160635342E-07,0.55,1.13667222128751E-06,0.000001023,1.25033944341626E-06,0.55,3.0158187375
P00393,1.6.99.3,1170,4212000,47359,1495.2700422719,0.000002483,0.55,4.87821681428697E-06,4.39039513285828E-06,0.000005366,0.55,11.300877072
P0A9D4,2.3.1.30,1080,3888000,29317,533.182793929,8.85391554182968E-07,0.55,1.73947260153825E-06,1.56552534138442E-06,1.91341986169207E-06,0.55,3.7196882111
