"Entry","Mw","conc_mmolgDW","0.9conc"
"P24183",112963,0,0
"P25907",86716,3.26243198644916E-09,2.93618878780424E-09
"P24181",111454,3.26243198644916E-09,2.93618878780424E-09
"P07658",79374,3.26243198644916E-09,2.93618878780424E-09
"P77747",41220,6.52486397289833E-09,5.8723775756085E-09
"P77374",89780,6.52486397289833E-09,5.8723775756085E-09
"P76585",123832,6.52486397289833E-09,5.8723775756085E-09
"P76072",113780,6.52486397289833E-09,5.8723775756085E-09
"P75906",77413,6.52486397289833E-09,5.8723775756085E-09
"P38036",100545,6.52486397289833E-09,5.8723775756085E-09
"P37443",84474,6.52486397289833E-09,5.8723775756085E-09
"P16919",159725,6.52486397289833E-09,5.8723775756085E-09
"P0AAA5",8727,6.52486397289833E-09,5.8723775756085E-09
"Q06067",67790,9.78729595934749E-09,8.80856636341274E-09
"P77397",62186,9.78729595934749E-09,8.80856636341274E-09
"P76481",63634,9.78729595934749E-09,8.80856636341274E-09
"P76361",57237,9.78729595934749E-09,8.80856636341274E-09
"P76092",65456,9.78729595934749E-09,8.80856636341274E-09
"P76056",47539,9.78729595934749E-09,8.80856636341274E-09
"P76017",99685,9.78729595934749E-09,8.80856636341274E-09
"P75995",56906,9.78729595934749E-09,8.80856636341274E-09
"P67444",49108,9.78729595934749E-09,8.80856636341274E-09
"P46133",54886,9.78729595934749E-09,8.80856636341274E-09
"P45508",131153,9.78729595934749E-09,8.80856636341274E-09
"P45420",86289,9.78729595934749E-09,8.80856636341274E-09
"P38054",114707,9.78729595934749E-09,8.80856636341274E-09
"P37653",99785,9.78729595934749E-09,8.80856636341274E-09
"P33346",138068,9.78729595934749E-09,8.80856636341274E-09
"P33225",94456,9.78729595934749E-09,8.80856636341274E-09
"P17334",48332,9.78729595934749E-09,8.80856636341274E-09
"P15030",34893,9.78729595934749E-09,8.80856636341274E-09
"P03960",72199,9.78729595934749E-09,8.80856636341274E-09
"Q6BEX0",55260,1.3E-08,1.1744755151217E-08
"Q46907",30308,1.3E-08,1.1744755151217E-08
"Q46877",54234,1.3E-08,1.1744755151217E-08
"P77589",41551,1.3E-08,1.1744755151217E-08
"P77439",92130,1.3E-08,1.1744755151217E-08
"P77337",45923,1.3E-08,1.1744755151217E-08
"P77329",63383,1.3E-08,1.1744755151217E-08
"P77269",35058,1.3E-08,1.1744755151217E-08
"P76421",31604,1.3E-08,1.1744755151217E-08
"P76269",48152,1.3E-08,1.1744755151217E-08
"P76261",59711,1.3E-08,1.1744755151217E-08
"P76224",56243,1.3E-08,1.1744755151217E-08
"P76150",42841,1.3E-08,1.1744755151217E-08
"P76093",49563,1.3E-08,1.1744755151217E-08
"P75898",42219,1.3E-08,1.1744755151217E-08
"P75882",78687,1.3E-08,1.1744755151217E-08
"P52143",157500,1.3E-08,1.1744755151217E-08
"P39453",101024,1.3E-08,1.1744755151217E-08
"P39328",35659,1.3E-08,1.1744755151217E-08
"P39282",54725,1.3E-08,1.1744755151217E-08
"P38135",62759,1.3E-08,1.1744755151217E-08
"P37197",51571,1.3E-08,1.1744755151217E-08
"P37127",71844,1.3E-08,1.1744755151217E-08
"P32135",46335,1.3E-08,1.1744755151217E-08
"P31826",64985,1.3E-08,1.1744755151217E-08
"P24174",53016,1.3E-08,1.1744755151217E-08
"P14377",51032,1.3E-08,1.1744755151217E-08
"P0AGC0",50607,1.3E-08,1.1744755151217E-08
"P0ABK9",53703,1.3E-08,1.1744755151217E-08
"P0AA78",46892,1.3E-08,1.1744755151217E-08
"P02942",59443,1.3E-08,1.1744755151217E-08
"P77622",34621,1.63121599322458E-08,1.46809439390212E-08
"P77493",34121,1.63121599322458E-08,1.46809439390212E-08
"P77211",50270,1.63121599322458E-08,1.46809439390212E-08
"P77187",55581,1.63121599322458E-08,1.46809439390212E-08
"P76347",248569,1.63121599322458E-08,1.46809439390212E-08
"P75892",45557,1.63121599322458E-08,1.46809439390212E-08
"P71243",45362,1.63121599322458E-08,1.46809439390212E-08
"P69367",44363,1.63121599322458E-08,1.46809439390212E-08
"P52614",39312,1.63121599322458E-08,1.46809439390212E-08
"P46883",84379,1.63121599322458E-08,1.46809439390212E-08
"P46482",34775,1.63121599322458E-08,1.46809439390212E-08
"P45848",71289,1.63121599322458E-08,1.46809439390212E-08
"P45758",70698,1.63121599322458E-08,1.46809439390212E-08
"P45423",43293,1.63121599322458E-08,1.46809439390212E-08
"P39384",42743,1.63121599322458E-08,1.46809439390212E-08
"P37180",43602,1.63121599322458E-08,1.46809439390212E-08
"P36661",48355,1.63121599322458E-08,1.46809439390212E-08
"P32170",47199,1.63121599322458E-08,1.46809439390212E-08
"P32153",38733,1.63121599322458E-08,1.46809439390212E-08
"P31447",57295,1.63121599322458E-08,1.46809439390212E-08
"P30979",35960,1.63121599322458E-08,1.46809439390212E-08
"P30866",22991,1.63121599322458E-08,1.46809439390212E-08
"P25549",60718,1.63121599322458E-08,1.46809439390212E-08
"P19769",33477,1.63121599322458E-08,1.46809439390212E-08
"P16682",37371,1.63121599322458E-08,1.46809439390212E-08
"P0C8K0",47192,1.63121599322458E-08,1.46809439390212E-08
"P0AC96",46416,1.63121599322458E-08,1.46809439390212E-08
"P0AC94",47138,1.63121599322458E-08,1.46809439390212E-08
"P0AAP1",41537,1.63121599322458E-08,1.46809439390212E-08
"P0A996",44108,1.63121599322458E-08,1.46809439390212E-08
"P08204",61089,1.63121599322458E-08,1.46809439390212E-08
"P05804",68447,1.63121599322458E-08,1.46809439390212E-08
"P02921",52636,1.63121599322458E-08,1.46809439390212E-08
"Q57083",33639,1.9574591918695E-08,1.76171327268255E-08
"Q46901",55901,1.9574591918695E-08,1.76171327268255E-08
"Q46888",30751,1.9574591918695E-08,1.76171327268255E-08
"P77671",49602,1.9574591918695E-08,1.76171327268255E-08
"P77425",45694,1.9574591918695E-08,1.76171327268255E-08
"P77328",47239,1.9574591918695E-08,1.76171327268255E-08
"P77272",49802,1.9574591918695E-08,1.76171327268255E-08
"P77239",44305,1.9574591918695E-08,1.76171327268255E-08
"P77156",34360,1.9574591918695E-08,1.76171327268255E-08
"P76518",41671,1.9574591918695E-08,1.76171327268255E-08
"P76186",75267,1.9574591918695E-08,1.76171327268255E-08
"P52131",32094,1.9574591918695E-08,1.76171327268255E-08
"P52124",54027,1.9574591918695E-08,1.76171327268255E-08
"P50466",55066,1.9574591918695E-08,1.76171327268255E-08
"P43319",38535,1.9574591918695E-08,1.76171327268255E-08
"P38035",60299,1.9574591918695E-08,1.76171327268255E-08
"P37387",35734,1.9574591918695E-08,1.76171327268255E-08
"P33934",31874,1.9574591918695E-08,1.76171327268255E-08
"P33013",43346,1.9574591918695E-08,1.76171327268255E-08
"P31574",33513,1.9574591918695E-08,1.76171327268255E-08
"P24216",48456,1.9574591918695E-08,1.76171327268255E-08
"P23877",34910,1.9574591918695E-08,1.76171327268255E-08
"P16431",64980,1.9574591918695E-08,1.76171327268255E-08
"P10903",49693,1.9574591918695E-08,1.76171327268255E-08
"P0ACV2",35493,1.9574591918695E-08,1.76171327268255E-08
"Q46802",66096,2.28370239051441E-08,2.05533215146297E-08
"P76555",25418,2.28370239051441E-08,2.05533215146297E-08
"P76417",47359,2.28370239051441E-08,2.05533215146297E-08
"P76228",40346,2.28370239051441E-08,2.05533215146297E-08
"P76044",29832,2.28370239051441E-08,2.05533215146297E-08
"P75908",51783,2.28370239051441E-08,2.05533215146297E-08
"P75853",34558,2.28370239051441E-08,2.05533215146297E-08
"P75793",90125,2.28370239051441E-08,2.05533215146297E-08
"P75693",24811,2.28370239051441E-08,2.05533215146297E-08
"P71296",32679,2.28370239051441E-08,2.05533215146297E-08
"P71244",51316,2.28370239051441E-08,2.05533215146297E-08
"P69739",40681,2.28370239051441E-08,2.05533215146297E-08
"P65290",17705,2.28370239051441E-08,2.05533215146297E-08
"P55138",54177,2.28370239051441E-08,2.05533215146297E-08
"P52073",38361,2.28370239051441E-08,2.05533215146297E-08
"P52048",45818,2.28370239051441E-08,2.05533215146297E-08
"P45757",30038,2.28370239051441E-08,2.05533215146297E-08
"P42630",48522,2.28370239051441E-08,2.05533215146297E-08
"P39381",41361,2.28370239051441E-08,2.05533215146297E-08
"P37772",34978,2.28370239051441E-08,2.05533215146297E-08
"P37681",27414,2.28370239051441E-08,2.05533215146297E-08
"P37627",61164,2.28370239051441E-08,2.05533215146297E-08
"P37047",43687,2.28370239051441E-08,2.05533215146297E-08
"P37009",39059,2.28370239051441E-08,2.05533215146297E-08
"P36554",50901,2.28370239051441E-08,2.05533215146297E-08
"P32718",33821,2.28370239051441E-08,2.05533215146297E-08
"P32138",77275,2.28370239051441E-08,2.05533215146297E-08
"P31471",42755,2.28370239051441E-08,2.05533215146297E-08
"P31459",31374,2.28370239051441E-08,2.05533215146297E-08
"P25736",26709,2.28370239051441E-08,2.05533215146297E-08
"P0AGM2",22048,2.28370239051441E-08,2.05533215146297E-08
"P0ACD8",66253,2.28370239051441E-08,2.05533215146297E-08
"P0AAF3",55018,2.28370239051441E-08,2.05533215146297E-08
"P0A6S0",24615,2.28370239051441E-08,2.05533215146297E-08
"P06974",37849,2.28370239051441E-08,2.05533215146297E-08
"Q47538",28297,2.60994558915933E-08,2.3489510302434E-08
"Q46898",25209,2.60994558915933E-08,2.3489510302434E-08
"Q46814",103519,2.60994558915933E-08,2.3489510302434E-08
"Q46799",81321,2.60994558915933E-08,2.3489510302434E-08
"P76486",32136,2.60994558915933E-08,2.3489510302434E-08
"P76254",35661,2.60994558915933E-08,2.3489510302434E-08
"P76135",28725,2.60994558915933E-08,2.3489510302434E-08
"P76081",39320,2.60994558915933E-08,2.3489510302434E-08
"P75859",18914,2.60994558915933E-08,2.3489510302434E-08
"P75764",81505,2.60994558915933E-08,2.3489510302434E-08
"P75747",36884,2.60994558915933E-08,2.3489510302434E-08
"P64557",28650,2.60994558915933E-08,2.3489510302434E-08
"P63340",45099,2.60994558915933E-08,2.3489510302434E-08
"P45541",31169,2.60994558915933E-08,2.3489510302434E-08
"P39306",25278,2.60994558915933E-08,2.3489510302434E-08
"P37766",57562,2.60994558915933E-08,2.3489510302434E-08
"P32151",39294,2.60994558915933E-08,2.3489510302434E-08
"P31665",34607,2.60994558915933E-08,2.3489510302434E-08
"P31552",58559,2.60994558915933E-08,2.3489510302434E-08
"P31434",88079,2.60994558915933E-08,2.3489510302434E-08
"P28629",84425,2.60994558915933E-08,2.3489510302434E-08
"P27375",21131,2.60994558915933E-08,2.3489510302434E-08
"P25748",37357,2.60994558915933E-08,2.3489510302434E-08
"P25744",43867,2.60994558915933E-08,2.3489510302434E-08
"P24175",50463,2.60994558915933E-08,2.3489510302434E-08
"P16433",27999,2.60994558915933E-08,2.3489510302434E-08
"P15032",96368,2.60994558915933E-08,2.3489510302434E-08
"P11868",43384,2.60994558915933E-08,2.3489510302434E-08
"P0C7L2",42277,2.60994558915933E-08,2.3489510302434E-08
