Entry,EC,kcat(s-1),kcat(h-1),Mw,#(cell)-1,conc_fmol(cell)-1,growth_rate1,conc_mmolgDW,0.9conc,1.1conc,growth_rate2,flux_ub_step2(mmol*(gDWh)-1)
P21179,1.11.1.6,151000,543600000,84163,2112.6953775554,3.50829521347622E-06,0.44,6.89252497735996E-06,6.20327247962397E-06,7.58177747509596E-06,0.44,1648.5816941849
P0A6D5,1.1.1.282,113000,406800000,31228,#N/A,#N/A,0.44,#N/A,#N/A,#N/A,0.44,#N/A
P0AGD1,1.15.1.1,100000,360000000,17681,194.3681422686,3.22763437842184E-07,0.44,6.34112844483661E-07,5.70701560035295E-07,6.97524128932028E-07,0.44,100.4434745662
P00448,1.15.1.1,100000,360000000,23097,28642.5264688957,4.75631459131446E-05,0.44,9.34442945248421E-05,8.40998650723579E-05,0.0001027887,0.44,14801.576252735
P0AGD3,1.15.1.1,100000,360000000,21266,5849.981063977,9.71434915970945E-06,0.44,1.90851653432406E-05,1.71766488089165E-05,2.09936818775646E-05,0.44,3023.0901903693
P0A858,5.3.1.1,68330,245988000,26972,6249.5371736261,1.03778431976521E-05,0.44,2.03886899757409E-05,1.83498209781668E-05,2.2427558973315E-05,0.44,2206.7641506911
P0A9C3,5.1.3.3,16500,59400000,38190,1265.2567488427,2.10105737104401E-06,0.44,4.1278140884951E-06,0.000003715,4.54059549734461E-06,0.44,107.8845490169
P13029,1.11.1.21,16333.3333333333,58799999.9999999,80024,3254.1215852926,5.40372232695553E-06,0.44,1.06163503476533E-05,9.55471531288797E-06,0.000011678,0.44,274.6662161945
P45568,1.1.1.267,9833.3333333333,35400000,43388,54.30705785,9.01810990534706E-08,0.44,1.77173082619785E-07,1.59455774357807E-07,1.94890390881764E-07,0.44,2.7596479349
P0AC53,1.1.1.49,8000,28800000,55704,870.6935579621,1.44585446357039E-06,0.44,2.84057851389074E-06,2.55652066250167E-06,3.12463636527981E-06,0.44,35.995810928
P12998,2.3.1.47,7000,25200000,41594,75.3525312064,1.25128746606426E-07,0.44,2.45832508067634E-07,2.21249257260871E-07,2.70415758874398E-07,0.44,2.7257908495
P0A6F3,2.7.1.30,4900,17640000,56231,570.1372639496,9.46757329707034E-07,0.44,0.00000186,0.000001674,0.000002046,0.44,14.4368402559
P08956,3.1.21.3,4000,14400000,134095,12.1244579471,2.01336066873371E-08,0.44,3.95552194250238E-08,3.55996974825214E-08,4.35107413675262E-08,0.44,0.2506218703
P15723,3.1.5.1,4000,14400000,59383,3.0846400742,5.12228507829698E-09,0.44,1.00634284445913E-08,9.05708560013218E-09,1.10697712890504E-08,0.44,0.0637618826
P56262,3.1.1.45,2650,9540000,29425,1186.5845009354,1.97041597631247E-06,0.44,3.87115123047637E-06,0.000003484,4.258266353524E-06,0.44,16.249544405
P0ABK9,1.7.2.2,2380,8568000,53703,0.5057606187,8.39854896568977E-10,0.44,1.65000961997834E-09,1.48500865798051E-09,1.81501058197618E-09,0.44,0.0062204043
P0ABK5,2.5.1.47,2030,7308000,34490,73975.9105917157,0.0001228428,0.44,0.0002413414,0.0002172072,0.0002654755,0.44,776.0380243817
P16703,2.5.1.47,2030,7308000,32664,1163.4481799702,0.000001932,0.44,3.79567055691097E-06,3.41610350121988E-06,4.17523761260207E-06,0.44,12.2050545892
P60546,2.7.4.8,1500,5400000,23593,276.8504311407,4.59731702326028E-07,0.44,9.03205702015772E-07,8.12885131814195E-07,9.93526272217349E-07,0.44,2.146016748
P52643,1.1.1.28,1340,4824000,36535,230.0201515975,0.000000382,0.44,7.50425100099527E-07,6.75382590089574E-07,8.2546761010948E-07,0.44,1.5928223005
P00393,1.6.99.3,1170,4212000,47359,411.5534331438,6.83416527970455E-07,0.44,1.34266508442133E-06,1.20839857597919E-06,1.47693159286346E-06,0.44,2.4883343477
P0A9D4,2.3.1.30,1080,3888000,29317,481.5313338255,7.99620282008539E-07,0.44,0.000001571,1.41386690335498E-06,1.72805954854498E-06,0.44,2.6874782099
P52061,3.6.1.66,1009,3632400,21039,443.5817261083,7.36602002836724E-07,0.44,1.44715521185997E-06,1.30243969067397E-06,1.59187073304597E-06,0.44,2.3129245003
Q46939,2.3.1.9,1000,3600000,41019,93.1453800081,1.54675157768402E-07,0.44,3.0388046712849E-07,2.73492420415641E-07,3.34268513841339E-07,0.44,0.4813466599
P76461,2.3.1.9,1000,3600000,40352,#N/A,#N/A,0.44,#N/A,#N/A,#N/A,0.44,#N/A
P0A7A9,3.6.1.1,916,3297600,19704,8040.9590734688,1.33526387802537E-05,0.44,2.62330820830131E-05,2.36097738747118E-05,2.88563902913144E-05,0.44,38.0627330499
P0ACC7,2.3.1.157,853,3070800,49190,359.309224837,5.96660951240425E-07,0.44,1.17222190813443E-06,0.000001055,1.28944409894787E-06,0.44,1.5838499756
P37197,1.11.1.5,830,2988000,51571,#N/A,#N/A,0.44,#N/A,#N/A,#N/A,0.44,#N/A
P25718,3.2.1.1,706,2541600,75713,4.486309913,7.44986700929924E-09,0.44,1.46362809612952E-08,1.31726528651656E-08,1.60999090574247E-08,0.44,0.0163678115
P26612,3.2.1.1,706,2541600,56639,156.2575136197,2.59477770873004E-07,0.44,5.09779510556E-07,4.588015595004E-07,5.607574616116E-07,0.44,0.5700884658
P0AC33,4.2.1.2,650,2340000,60299,4416.1036210297,7.33328399373904E-06,0.44,1.44072377087211E-05,1.2966513937849E-05,0.000015848,0.44,14.8336919449
P14407,4.2.1.2,650,2340000,60105,12.91673988,2.14492525406842E-08,0.44,4.21399853451555E-08,3.792598681064E-08,4.63539838796711E-08,0.44,0.0433873289
P0ACX5,4.2.1.2,650,2340000,7907,31.2751205975,5.19347734929955E-08,0.44,0.000000102,9.1829658435552E-08,1.12236249199008E-07,0.44,0.1050531293
P11663,4.2.1.2,650,2340000,19272,#N/A,#N/A,0.44,#N/A,#N/A,#N/A,0.44,#N/A
P05042,4.2.1.2,650,2340000,50489,942.5416093793,1.56516374855418E-06,0.44,0.000003075,2.76748010549855E-06,3.38247568449823E-06,0.44,3.1659972407
P0A731,4.2.3.3,600,2160000,16919,900.8708001645,0.000001496,0.44,0.000002939,2.64512674270318E-06,3.23293268552611E-06,0.44,2.7932538403
P0A799,2.7.2.3,575,2070000,41118,27811.439989329,4.61830620878927E-05,0.44,9.07329314103983E-05,8.16596382693584E-05,9.98062245514381E-05,0.44,82.6395539286
P0A7E9,2.7.4.22,545.2,1962720,25970,678.4140606132,1.12655938328334E-06,0.44,2.21327973140146E-06,0.000001992,2.43460770454161E-06,0.44,1.9113812935
P0AED7,3.5.1.18,470,1692000,41269,69.3056976594,1.15087508567587E-07,0.44,2.26105124887205E-07,2.03494612398484E-07,2.48715637375925E-07,0.44,0.1683307434
P77608,4.2.1.80,450,1620000,28890,5.415990349,0.000000009,0.44,1.76693001528776E-08,1.59023701375898E-08,1.94362301681653E-08,0.44,0.0125946771
P0AEK2,1.1.1.100,361,1299600,25560,4198.4201782549,6.97180368358499E-06,0.44,1.36970602820923E-05,1.23273542538831E-05,1.50667663103015E-05,0.44,7.8323077987
P62707,5.4.2.11,330,1188000,28556,9526.5388761775,1.58195597412446E-05,0.44,3.10796851497929E-05,2.79717166348136E-05,3.41876536647722E-05,0.44,16.2459730215
P37306,2.7.2.2,319,1148400,31644,#N/A,#N/A,0.44,#N/A,#N/A,#N/A,0.44,#N/A
