"Entry","Mw","conc_mmolgDW","0.9conc"
"P24183",112963,"#VALUE!","#VALUE!"
"P25907",86716,"#VALUE!","#VALUE!"
"P24181",111454,"#VALUE!","#VALUE!"
"P07658",79374,"#VALUE!","#VALUE!"
"P77747",41220,"#VALUE!","#VALUE!"
"P77374",89780,"#VALUE!","#VALUE!"
"P76585",123832,"#VALUE!","#VALUE!"
"P76072",113780,"#VALUE!","#VALUE!"
"P75906",77413,"#VALUE!","#VALUE!"
"P38036",100545,"#VALUE!","#VALUE!"
"P37443",84474,"#VALUE!","#VALUE!"
"P16919",159725,"#VALUE!","#VALUE!"
"P0AAA5",8727,0,0
"Q06067",67790,"#VALUE!","#VALUE!"
"P77397",62186,"#VALUE!","#VALUE!"
"P76481",63634,"#VALUE!","#VALUE!"
"P76361",57237,"#VALUE!","#VALUE!"
"P76092",65456,"#VALUE!","#VALUE!"
"P76056",47539,"#VALUE!","#VALUE!"
"P76017",99685,"#VALUE!","#VALUE!"
"P75995",56906,"#VALUE!","#VALUE!"
"P67444",49108,"#VALUE!","#VALUE!"
"P46133",54886,"#VALUE!","#VALUE!"
"P45508",131153,"#VALUE!","#VALUE!"
"P45420",86289,"#VALUE!","#VALUE!"
"P38054",114707,"#VALUE!","#VALUE!"
"P37653",99785,"#VALUE!","#VALUE!"
"P33346",138068,"#VALUE!","#VALUE!"
"P33225",94456,"#VALUE!","#VALUE!"
"P17334",48332,"#VALUE!","#VALUE!"
"P15030",34893,"#VALUE!","#VALUE!"
"P03960",72199,"#VALUE!","#VALUE!"
"Q6BEX0",55260,"#VALUE!","#VALUE!"
"Q46907",30308,"#VALUE!","#VALUE!"
"Q46877",54234,"#VALUE!","#VALUE!"
"P77589",41551,"#VALUE!","#VALUE!"
"P77439",92130,"#VALUE!","#VALUE!"
"P77337",45923,"#VALUE!","#VALUE!"
"P77329",63383,"#VALUE!","#VALUE!"
"P77269",35058,"#VALUE!","#VALUE!"
"P76421",31604,"#VALUE!","#VALUE!"
"P76269",48152,"#VALUE!","#VALUE!"
"P76261",59711,"#VALUE!","#VALUE!"
"P76224",56243,"#VALUE!","#VALUE!"
"P76150",42841,"#VALUE!","#VALUE!"
"P76093",49563,"#VALUE!","#VALUE!"
"P75898",42219,"#VALUE!","#VALUE!"
"P75882",78687,"#VALUE!","#VALUE!"
"P52143",157500,"#VALUE!","#VALUE!"
"P39453",101024,"#VALUE!","#VALUE!"
"P39328",35659,"#VALUE!","#VALUE!"
"P39282",54725,"#VALUE!","#VALUE!"
"P38135",62759,"#VALUE!","#VALUE!"
"P37197",51571,"#VALUE!","#VALUE!"
"P37127",71844,"#VALUE!","#VALUE!"
"P32135",46335,"#VALUE!","#VALUE!"
"P31826",64985,"#VALUE!","#VALUE!"
"P24174",53016,"#VALUE!","#VALUE!"
"P14377",51032,"#VALUE!","#VALUE!"
"P0AGC0",50607,"#VALUE!","#VALUE!"
"P0ABK9",53703,"#VALUE!","#VALUE!"
"P0AA78",46892,"#VALUE!","#VALUE!"
"P02942",59443,"#VALUE!","#VALUE!"
"P77622",34621,"#VALUE!","#VALUE!"
"P77493",34121,"#VALUE!","#VALUE!"
"P77211",50270,"#VALUE!","#VALUE!"
"P77187",55581,"#VALUE!","#VALUE!"
"P76347",248569,"#VALUE!","#VALUE!"
"P75892",45557,"#VALUE!","#VALUE!"
"P71243",45362,"#VALUE!","#VALUE!"
"P69367",44363,"#VALUE!","#VALUE!"
"P52614",39312,"#VALUE!","#VALUE!"
"P46883",84379,"#VALUE!","#VALUE!"
"P46482",34775,"#VALUE!","#VALUE!"
"P45848",71289,"#VALUE!","#VALUE!"
"P45758",70698,"#VALUE!","#VALUE!"
"P45423",43293,"#VALUE!","#VALUE!"
"P39384",42743,"#VALUE!","#VALUE!"
"P37180",43602,"#VALUE!","#VALUE!"
"P36661",48355,"#VALUE!","#VALUE!"
"P32170",47199,"#VALUE!","#VALUE!"
"P32153",38733,"#VALUE!","#VALUE!"
"P31447",57295,"#VALUE!","#VALUE!"
"P30979",35960,"#VALUE!","#VALUE!"
"P30866",22991,"#VALUE!","#VALUE!"
"P25549",60718,"#VALUE!","#VALUE!"
"P19769",33477,"#VALUE!","#VALUE!"
"P16682",37371,"#VALUE!","#VALUE!"
"P0C8K0",47192,"#VALUE!","#VALUE!"
"P0AC96",46416,"#VALUE!","#VALUE!"
"P0AC94",47138,"#VALUE!","#VALUE!"
"P0AAP1",41537,"#VALUE!","#VALUE!"
"P0A996",44108,"#VALUE!","#VALUE!"
"P08204",61089,"#VALUE!","#VALUE!"
"P05804",68447,"#VALUE!","#VALUE!"
"P02921",52636,"#VALUE!","#VALUE!"
"Q57083",33639,"#VALUE!","#VALUE!"
"Q46901",55901,"#VALUE!","#VALUE!"
"Q46888",30751,"#VALUE!","#VALUE!"
"P77671",49602,"#VALUE!","#VALUE!"
"P77425",45694,"#VALUE!","#VALUE!"
"P77328",47239,"#VALUE!","#VALUE!"
"P77272",49802,"#VALUE!","#VALUE!"
"P77239",44305,"#VALUE!","#VALUE!"
