Entry,EC,kcat(s-1),kcat(h-1),Mw,#(cell)-1,conc_fmol(cell)-1,growth_rate1,conc_mmolgDW,0.9conc,1.1conc,growth_rate2,flux_ub_step2(mmol*(gDWh)-1)
P21179,1.11.1.6,151000,543600000,84163,2428.5302888805,4.03276368130267E-06,0.42,7.92291489450427E-06,7.13062340505385E-06,8.7152063839547E-06,0.42,1808.8965453941
P0A6D5,1.1.1.282,113000,406800000,31228,#N/A,#N/A,0.42,#N/A,#N/A,#N/A,0.42,#N/A
P0AGD1,1.15.1.1,100000,360000000,17681,308.0648513026,5.11565678018248E-07,0.42,0.000001005,9.04536562311244E-07,1.1055446872693E-06,0.42,151.9621424683
P00448,1.15.1.1,100000,360000000,23097,30245.9875880531,5.02258179808255E-05,0.42,9.86754773690088E-05,8.88079296321079E-05,0.000108543,0.42,14919.7321781941
P0AGD3,1.15.1.1,100000,360000000,21266,4801.3565922298,0.000007973,0.42,1.5664099324839E-05,1.40976893923551E-05,1.72305092573229E-05,0.42,2368.4118179157
P0A858,5.3.1.1,68330,245988000,26972,7757.666605601,1.28822095742296E-05,0.42,2.53088596743213E-05,0.000022778,2.78397456417535E-05,0.42,2614.7838248981
P0A9C3,5.1.3.3,16500,59400000,38190,1243.2053894094,2.06443937132087E-06,0.42,4.05587302813531E-06,3.65028572532178E-06,4.46146033094884E-06,0.42,101.1859203059
P13029,1.11.1.21,16333.3333333333,58799999.9999999,80024,3221.0195685157,5.34875385007592E-06,0.42,1.05083572693044E-05,9.45752154237393E-06,1.15591929962348E-05,0.42,259.5143911227
P45568,1.1.1.267,9833.3333333333,35400000,43388,46.08555043,7.65286456824975E-08,0.42,1.50350973835948E-07,1.35315876452353E-07,1.65386071219543E-07,0.42,2.235418279
P0AC53,1.1.1.49,8000,28800000,55704,842.9631027585,1.39980588302637E-06,0.42,2.75010978983569E-06,2.47509881085212E-06,3.02512076881926E-06,0.42,33.2653280179
P12998,2.3.1.47,7000,25200000,41594,78.7731339809,1.30808923913799E-07,0.42,0.000000257,2.31292792774891E-07,2.82691191169311E-07,0.42,2.720003243
P0A6F3,2.7.1.30,4900,17640000,56231,687.9714189492,1.14243012113778E-06,0.42,2.2444599629426E-06,0.00000202,2.46890595923686E-06,0.42,16.6287549734
P08956,3.1.21.3,4000,14400000,134095,10.1520211629,1.68582217915578E-08,0.42,3.31202785688758E-08,2.98082507119882E-08,3.64323064257634E-08,0.42,0.2003114448
P15723,3.1.5.1,4000,14400000,59383,3.1156403065,5.17376337844424E-09,0.42,1.0164564594193E-08,9.1481081347737E-09,1.11810210536123E-08,0.42,0.0614752867
P56262,3.1.1.45,2650,9540000,29425,1193.4812681538,1.98186859540653E-06,0.42,3.8936514644529E-06,3.50428631800761E-06,0.000004283,0.42,15.6010826878
P0ABK9,1.7.2.2,2380,8568000,53703,0.097245421,1.61483595182926E-10,0.42,3.17256572068616E-10,2.85530914861755E-10,3.48982229275478E-10,0.42,0.0011416668
P0ABK5,2.5.1.47,2030,7308000,34490,68066.5293356654,0.0001130298,0.42,0.0002220624,0.0001998562,0.0002442687,0.42,681.5895171591
P16703,2.5.1.47,2030,7308000,32664,1086.6702197555,1.80450053097894E-06,0.42,3.54518768365215E-06,3.19066891528694E-06,3.89970645201737E-06,0.42,10.8814572687
P60546,2.7.4.8,1500,5400000,23593,278.7469646392,4.62881043904387E-07,0.42,9.09393013564612E-07,8.1845371220815E-07,1.00033231492107E-06,0.42,2.0625033548
